Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,6746.0,6762.5,6592.0,6594.0,-0.588,5963575,1
30/11/2021,6642.5,6665.0,6540.0,6633.0,-1.24,13303651,1
29/11/2021,6735.0,6755.5,6690.0,6716.0,0.269,9643643,1
26/11/2021,6755.5,6765.5,6671.0,6698.0,-2.6,8587390,1
24/11/2021,6842.0,6877.0,6833.0,6877.0,-1.24,7209500,1
23/11/2021,6944.0,6968.0,6924.0,6963.0,0.101,6844692,1
22/11/2021,6986.0,7008.0,6951.0,6956.0,-0.486,8232326,1
19/11/2021,6985.0,7008.0,6977.5,6990.0,0.201,5835869,1
18/11/2021,6959.0,6977.0,6931.2,6976.0,0.273,6788034,1
17/11/2021,6935.0,6959.5,6929.0,6957.0,-0.444,4427212,1
16/11/2021,6991.0,6999.0,6983.9,6988.0,-0.157,7354228,1
15/11/2021,7014.0,7016.5,6995.0,6999.0,-0.0286,5411057,1
12/11/2021,6972.0,7010.0,6967.0,7001.0,1.32,13472271,1
11/11/2021,6922.0,6928.5,6902.5,6909.5,0.604,4193469,1
10/11/2021,6925.0,6944.0,6857.2,6868.0,-1.55,5739109,1
09/11/2021,6987.0,6992.5,6952.5,6976.0,-0.641,7971147,1
08/11/2021,7011.0,7021.0,7002.0,7021.0,-0.242,5531673,1
05/11/2021,7022.0,7040.0,7007.5,7038.0,0.164,5763294,1
04/11/2021,7004.0,7028.5,6992.0,7026.5,0.724,7481369,1
03/11/2021,6930.5,6992.0,6912.0,6976.0,0.591,6085746,1
02/11/2021,6926.0,6951.5,6925.0,6935.0,-0.158,6420266,1
01/11/2021,6936.0,6947.0,6915.0,6946.0,1.56,8685787,1
29/10/2021,6804.0,6846.5,6800.0,6839.0,-0.175,6477215,1
28/10/2021,6830.0,6862.5,6828.5,6851.0,0.839,8331582,1
27/10/2021,6829.0,6853.0,6792.0,6794.0,-0.745,8080859,1
26/10/2021,6891.0,6891.0,6841.0,6845.0,-0.0438,7137042,1
25/10/2021,6824.0,6866.0,6811.0,6848.0,0.0877,7417669,1
22/10/2021,6842.0,6871.0,6828.5,6842.0,0.818,8930002,1
21/10/2021,6787.0,6825.0,6775.0,6786.5,-1.74,11931584,1
20/10/2021,6897.0,6921.5,6892.5,6907.0,-0.0868,5022460,1
19/10/2021,6906.0,6932.5,6900.0,6913.0,0.626,5058146,1
18/10/2021,6841.0,6882.6,6833.0,6870.0,-0.521,5059935,1
15/10/2021,6903.0,6921.5,6892.0,6906.0,1.07,8433235,1
