Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,2957.5,2975.5,2850.5,2852.0,-1.66,7254469,1
30/11/2021,2933.0,2955.0,2836.0,2900.0,-1.16,40552096,1
29/11/2021,2970.0,2972.0,2914.5,2934.0,-0.17,21647876,1
26/11/2021,2932.0,2944.0,2901.0,2939.0,-1.51,21322928,1
24/11/2021,2948.5,3002.0,2932.0,2984.0,1.12,19545156,1
23/11/2021,2918.5,2974.5,2871.5,2951.0,1.23,32887288,1
22/11/2021,2965.0,2990.0,2905.0,2915.0,-0.0686,24309132,1
19/11/2021,2968.0,2984.0,2913.0,2917.0,-0.0343,22556296,1
18/11/2021,2952.0,2961.5,2908.0,2918.0,-1.75,29243390,1
17/11/2021,3014.0,3028.0,2946.0,2970.0,-1.43,33351664,1
16/11/2021,3042.0,3052.0,2996.0,3013.0,-2.27,29518016,1
15/11/2021,3089.0,3106.0,3071.5,3083.0,0,7620834,1
12/11/2021,3101.0,3106.0,3063.0,3083.0,-2.03,27059792,1
11/11/2021,3139.0,3185.0,3136.0,3147.0,3.38,34262768,1
10/11/2021,3084.0,3104.0,3029.5,3044.0,0.132,28611324,1
09/11/2021,3059.5,3084.0,3017.0,3040.0,1.67,24185788,1
08/11/2021,2975.0,3013.5,2972.0,2990.0,-0.167,22588580,1
05/11/2021,2985.0,3022.0,2969.5,2995.0,2.5,23189282,1
04/11/2021,2974.5,2992.0,2902.0,2922.0,-2.73,29249828,1
03/11/2021,2942.0,3033.0,2915.0,3004.0,2.74,40987876,1
02/11/2021,2952.0,2952.0,2902.0,2924.0,-1.81,15229131,1
01/11/2021,2950.0,2989.0,2937.1,2978.0,1.6,22173938,1
29/10/2021,3003.0,3010.5,2921.5,2931.0,-2.58,33126248,1
28/10/2021,3029.0,3060.0,2986.0,3008.5,-1.59,32492560,1
27/10/2021,3096.0,3115.0,3034.5,3057.0,0.361,19133646,1
26/10/2021,3076.0,3085.0,3024.0,3046.0,-2.47,29919012,1
25/10/2021,3055.0,3142.5,3042.0,3123.0,3.89,35695048,1
