Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,3859.0,3897.5,3809.0,3811.0,-0.236,11327593,1
30/11/2021,3829.0,3854.5,3783.5,3820.0,-0.547,39205348,1
29/11/2021,3884.5,3885.0,3829.0,3841.0,-0.98,25197330,1
26/11/2021,3896.0,3902.0,3850.0,3879.0,-2.73,33937176,1
24/11/2021,3963.5,3993.0,3945.0,3988.0,0.226,19579644,1
23/11/2021,3995.0,4018.0,3965.5,3979.0,-0.45,22084406,1
22/11/2021,4036.0,4045.0,3979.0,3997.0,-1.24,23952388,1
19/11/2021,4052.5,4080.5,4044.5,4047.0,0.497,18674672,1
18/11/2021,4049.0,4056.5,4006.5,4027.0,-2.13,35991980,1
17/11/2021,4175.0,4176.5,4108.0,4114.5,-1.12,23236672,1
16/11/2021,4169.0,4180.0,4138.0,4161.0,1.14,27896320,1
15/11/2021,4145.0,4146.0,4111.0,4114.0,-0.7,24685616,1
12/11/2021,4111.5,4147.0,4104.5,4143.0,0.218,26606432,1
11/11/2021,4082.5,4141.0,4074.0,4134.0,3.82,56716560,1
10/11/2021,3980.0,4015.5,3958.5,3982.0,0.785,29855570,1
09/11/2021,3957.5,3984.0,3935.0,3951.0,-0.704,29751860,1
08/11/2021,3971.0,3982.0,3953.0,3979.0,1.09,26559676,1
05/11/2021,3997.0,3997.0,3926.0,3936.0,-1.77,27004584,1
04/11/2021,4052.0,4054.0,3998.0,4007.0,-0.497,21496142,1
03/11/2021,4006.0,4032.5,3988.0,4027.0,0.776,24156880,1
02/11/2021,4023.5,4023.5,3989.0,3996.0,-2.66,33320334,1
01/11/2021,4024.0,4108.0,4023.0,4105.0,1.72,26074866,1
29/10/2021,4062.0,4072.5,4017.0,4035.5,-1.86,28991008,1
28/10/2021,4087.0,4113.0,4063.0,4112.0,0.268,23245644,1
27/10/2021,4100.5,4143.0,4098.0,4101.0,-1.18,26347174,1
26/10/2021,4211.0,4212.0,4140.4,4150.0,-2.03,30385634,1
25/10/2021,4236.0,4239.0,4207.0,4236.0,0.439,15178875,1
22/10/2021,4242.5,4269.0,4205.0,4217.5,0.0831,16138983,1
21/10/2021,4203.0,4224.0,4194.0,4214.0,-0.213,16639328,1
20/10/2021,4240.0,4242.3,4198.5,4223.0,0.404,20715816,1
19/10/2021,4153.0,4214.0,4147.0,4206.0,2.79,34020776,1
18/10/2021,4071.0,4108.5,4066.0,4092.0,0.491,17807952,1
15/10/2021,4051.0,4087.0,4037.0,4072.0,0.992,25678760,1
14/10/2021,4043.5,4054.5,4001.0,4032.0,-0.371,26951650,1
13/10/2021,4014.0,4056.0,4013.5,4047.0,1.97,26706754,1
12/10/2021,4002.0,4018.0,3966.0,3969.0,-0.539,22368956,1
11/10/2021,4057.0,4062.3,3990.0,3990.5,-0.113,24026728,1
08/10/2021,3969.0,4004.8,3957.5,3995.0,0.935,22003448,1
07/10/2021,3901.0,3971.0,3895.0,3958.0,4.05,41061256,1
06/10/2021,3754.0,3807.0,3749.0,3804.0,-0.314,19991300,1
05/10/2021,3789.5,3833.0,3788.0,3816.0,1.27,24315992,1
04/10/2021,3806.0,3806.0,3745.5,3768.0,-2.28,29372506,1
01/10/2021,3885.0,3902.0,3828.0,3856.0,-1.03,27433524,1
