Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/10/2021,16531,16792,16531,16757,1.76,11117286,1
12/10/2021,16459,16544,16432,16467,0.464,5453049,1
11/10/2021,16403,16458,16391,16391,-0.219,3820087,1
08/10/2021,16636,16641,16414,16427,0.0853,8536109,1
07/10/2021,16403,16485,16396,16413,-0.533,4791505,1
06/10/2021,16426,16506,16415,16501,0.261,6067156,1
05/10/2021,16392,16485,16350,16458,-0.484,5617283,1
04/10/2021,16369,16554,16348,16538,0.492,7651658,1
01/10/2021,16429,16496,16389,16457,0.231,6655786,1
30/09/2021,16264,16495,16234,16419,1.77,10574824,1
29/09/2021,16233,16274,16097,16134,-0.444,8360656,1
28/09/2021,16276,16281,16173,16206,-0.978,9282755,1
27/09/2021,16385,16436,16351,16366,0.208,4942989,1
24/09/2021,16296,16400,16276,16332,-0.122,6937521,1
23/09/2021,16407,16420,16327,16352,-1.13,8451899,1
22/09/2021,16592,16714,16503,16539,-0.379,9777794,1
21/09/2021,16579,16663,16549,16602,0.649,7181458,1
20/09/2021,16426,16528,16407,16495,0.714,7566577,1
17/09/2021,16386,16432,16340,16378,-0.158,8369679,1
16/09/2021,16438,16444,16323,16404,-2.25,11780399,1
15/09/2021,16811,16836,16746,16782,-0.61,5624883,1
14/09/2021,16824,16916,16750,16885,0.674,7922917,1
13/09/2021,16745,16822,16740,16772,0.317,5474323,1
10/09/2021,16780,16808,16715,16719,-0.488,7426272,1
09/09/2021,16820,16828,16683,16801,0.424,6641424,1
08/09/2021,16798,16807,16671,16730,-0.262,6575990,1
07/09/2021,16952,16978,16764,16774,-1.94,10007697,1
03/09/2021,17060,17155,17015,17105,1.06,8353646,1
02/09/2021,16953,16963,16883,16926,-0.271,4601128,1
01/09/2021,16993,17000,16916,16972,0,4764866,1
31/08/2021,16926,16991,16877,16972,0.218,6336002,1
30/08/2021,16967,16984,16909,16935,-0.476,3768628,1
27/08/2021,16754,17019,16690,17016,1.48,10036431,1
26/08/2021,16726,16821,16683,16769,0.116,4371866,1
25/08/2021,16780,16789,16675,16749,-0.694,5588751,1
24/08/2021,16904,16927,16852,16866,-0.0296,4519173,1
23/08/2021,16882,16891,16796,16871,1.19,8190548,1
20/08/2021,16682,16713,16636,16672,0.066,7154348,1
19/08/2021,16724,16728,16616,16661,-0.305,6934268,1
18/08/2021,16723,16751,16626,16712,0.0778,7697931,1
17/08/2021,16730,16773,16657,16699,-0.144,7106992,1
16/08/2021,16674,16739,16659,16723,0.499,7781796,1
13/08/2021,16500,16646,16490,16640,1.43,7466887,1
12/08/2021,16363,16410,16293,16406,0.0366,5222080,1
