Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,2428.0,2453.5,2358.5,2361.0,-0.798,738943,1
30/11/2021,2406.0,2411.0,2350.0,2380.0,-0.833,1375363,1
29/11/2021,2421.0,2421.0,2377.0,2400.0,0.251,1250001,1
26/11/2021,2392.0,2399.2,2364.0,2394.0,-2.44,918008,1
24/11/2021,2434.0,2458.5,2421.0,2454.0,0.245,832102,1
23/11/2021,2427.0,2454.0,2401.0,2448.0,0.948,1572106,1
22/11/2021,2451.0,2465.0,2423.0,2425.0,0.706,1461886,1
19/11/2021,2425.0,2442.0,2408.0,2408.0,-0.249,1467875,1
18/11/2021,2437.0,2443.0,2404.5,2414.0,-1.87,3464462,1
17/11/2021,2501.5,2505.0,2453.0,2460.0,-1.99,1838534,1
16/11/2021,2546.0,2546.0,2504.0,2510.0,-1.91,1323324,1
15/11/2021,2574.0,2574.0,2555.0,2559.0,-0.389,1721866,1
12/11/2021,2579.0,2584.5,2558.0,2569.0,-0.887,1243537,1
11/11/2021,2592.0,2615.0,2586.0,2592.0,1.97,950535,1
10/11/2021,2570.0,2582.0,2532.2,2542.0,-0.625,1091843,1
09/11/2021,2569.0,2580.0,2543.0,2558.0,0.748,952072,1
08/11/2021,2538.0,2556.0,2534.5,2539.0,0.515,832042,1
05/11/2021,2527.0,2542.5,2514.0,2526.0,1.28,929115,1
04/11/2021,2531.0,2531.0,2481.0,2494.0,-1.58,1905004,1
03/11/2021,2507.0,2547.0,2488.5,2534.0,1.36,1500372,1
02/11/2021,2506.0,2516.5,2486.5,2500.0,-1.46,707692,1
01/11/2021,2527.0,2540.0,2516.0,2537.0,1.16,852904,1
29/10/2021,2558.0,2558.0,2506.0,2508.0,-2.34,1697964,1
28/10/2021,2577.0,2591.0,2556.0,2568.0,-0.849,1498690,1
27/10/2021,2636.0,2638.0,2581.0,2590.0,-1.3,2749888,1
26/10/2021,2634.0,2637.5,2606.5,2624.0,-0.869,3773003,1
25/10/2021,2613.0,2655.0,2604.2,2647.0,2.88,1324433,1
22/10/2021,2573.5,2592.0,2506.0,2573.0,-0.541,1267815,1
21/10/2021,2621.0,2621.0,2551.0,2587.0,-3.07,1093958,1
20/10/2021,2646.0,2688.0,2642.0,2669.0,0.869,665430,1
19/10/2021,2682.0,2682.0,2634.0,2646.0,-2.27,1108127,1
18/10/2021,2689.0,2717.0,2672.0,2707.5,-0.86,651867,1
15/10/2021,2672.0,2733.0,2671.0,2731.0,2.53,1221964,1
14/10/2021,2676.0,2676.0,2655.0,2663.5,0.132,1513734,1
13/10/2021,2644.0,2668.0,2622.5,2660.0,0.91,1002718,1
12/10/2021,2633.0,2654.0,2633.0,2636.0,0.152,951247,1
11/10/2021,2667.0,2676.0,2631.5,2632.0,-0.866,587243,1
08/10/2021,2673.0,2685.0,2650.5,2655.0,0.664,2523510,1
07/10/2021,2645.0,2667.0,2637.0,2637.5,-0.133,1889691,1
06/10/2021,2601.0,2643.5,2579.0,2641.0,-0.0379,968851,1
05/10/2021,2653.0,2674.0,2638.0,2642.0,-0.339,531937,1
04/10/2021,2661.0,2694.5,2644.5,2651.0,-2.14,1211841,1
01/10/2021,2688.0,2719.0,2671.0,2709.0,2.07,912965,1
30/09/2021,2678.0,2690.0,2646.0,2654.0,-0.15,1769897,1
29/09/2021,2662.0,2690.0,2645.0,2658.0,0.113,808850,1
28/09/2021,2727.0,2728.0,2648.0,2655.0,-3.28,910077,1
27/09/2021,2727.0,2763.0,2720.0,2745.0,0.531,1286314,1
24/09/2021,2730.0,2750.0,2728.5,2730.5,-1.32,976249,1
23/09/2021,2746.0,2786.0,2743.0,2767.0,1.11,1786649,1
22/09/2021,2744.0,2774.0,2729.0,2736.5,1.65,1338329,1
21/09/2021,2682.0,2707.0,2654.0,2692.0,1.28,2360219,1
20/09/2021,2672.0,2676.0,2620.0,2658.0,-2.82,1550763,1
17/09/2021,2770.0,2770.0,2726.0,2735.0,-2.37,899537,1
16/09/2021,2793.0,2804.0,2774.0,2801.5,-1.08,596930,1
15/09/2021,2824.0,2837.0,2814.0,2832.0,0.106,636824,1
14/09/2021,2863.0,2864.0,2823.0,2829.0,-0.754,1221663,1
13/09/2021,2860.0,2874.0,2843.5,2850.5,1.19,1306918,1
10/09/2021,2858.0,2865.0,2816.0,2817.0,-0.248,886839,1
09/09/2021,2780.0,2845.0,2761.0,2824.0,1.66,2255578,1
08/09/2021,2862.0,2869.0,2776.8,2778.0,-4.27,1225346,1
07/09/2021,2913.0,2949.5,2899.0,2902.0,0.0172,856864,1
03/09/2021,2922.0,2928.0,2893.0,2901.5,-0.309,946372,1
02/09/2021,2935.0,2955.5,2902.5,2910.5,-1.41,1686704,1
01/09/2021,2960.0,2978.0,2945.5,2952.0,-0.237,844907,1
31/08/2021,2977.0,2991.0,2946.5,2959.0,-0.169,1186344,1
30/08/2021,2968.0,2979.0,2942.0,2964.0,-0.336,1298119,1
27/08/2021,2916.0,2974.0,2912.0,2974.0,2.38,1592643,1
26/08/2021,2936.0,2942.0,2899.0,2905.0,-1.79,1202483,1
25/08/2021,2915.0,2959.0,2905.0,2958.0,0.99,1283803,1
24/08/2021,2882.0,2942.5,2882.0,2929.0,3.02,1582233,1
23/08/2021,2838.0,2850.2,2824.0,2843.0,0.708,885140,1
20/08/2021,2777.0,2828.0,2777.0,2823.0,0.391,2387728,1
19/08/2021,2806.0,2825.0,2781.0,2812.0,-1.68,2024985,1
18/08/2021,2892.0,2915.0,2859.5,2860.0,-1.85,1476222,1
17/08/2021,2912.0,2934.0,2871.0,2914.0,-0.546,817069,1
16/08/2021,2964.0,2965.0,2927.0,2930.0,-1.79,580783,1
13/08/2021,2969.0,2994.0,2953.0,2983.5,0.692,853712,1
12/08/2021,2987.0,2995.0,2961.0,2963.0,-1.43,1615796,1
11/08/2021,2988.0,3013.0,2972.0,3006.0,0.502,1151167,1
10/08/2021,2977.0,3010.0,2964.0,2991.0,0.639,722220,1
09/08/2021,2975.0,2992.5,2949.0,2972.0,-0.369,821507,1
06/08/2021,2989.0,2999.0,2963.0,2983.0,0.202,1310756,1
05/08/2021,3007.0,3034.0,2967.0,2977.0,0.168,1534489,1
04/08/2021,3000.0,3011.0,2946.0,2972.0,-1.52,1677816,1
03/08/2021,2961.0,3019.5,2934.0,3018.0,0.936,1752826,1
02/08/2021,3042.0,3058.4,2988.0,2990.0,0.64,5258494,1
30/07/2021,3074.0,3089.0,2966.0,2971.0,-4.47,1171274,1
29/07/2021,3098.0,3117.6,3088.0,3110.0,0.712,1133383,1
28/07/2021,3057.0,3095.0,3038.5,3088.0,2.25,1739011,1
27/07/2021,3024.0,3034.0,2996.5,3020.0,-0.756,868627,1
