Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,31952,31952,30577,30905,-3.01,331837,1
02/12/2021,30600,32054,30541,31863,3.85,492326,1
01/12/2021,31561,31777,30654,30681,-1.77,531018,1
30/11/2021,32432,32441,31063,31234,-3.89,1112208,1
29/11/2021,32401,32723,32395,32498,1.02,522123,1
26/11/2021,32305,32982,31942,32170,-1.36,325460,1
24/11/2021,32230,32614,32166,32614,0.673,691252,1
23/11/2021,32097,32894,31988,32396,0.609,410736,1
22/11/2021,33453,33715,32171,32200,-3.8,410889,1
19/11/2021,33789,34164,33443,33472,-0.097,472494,1
18/11/2021,33666,33870,33460,33505,0.0612,296879,1
17/11/2021,33278,33811,33129,33484,0.686,272222,1
16/11/2021,33425,34015,33180,33256,-0.363,404535,1
15/11/2021,33245,33508,33121,33377,0.56,185055,1
12/11/2021,33125,33422,32945,33191,0.652,214899,1
11/11/2021,33130,33408,32751,32976,0.0698,362055,1
10/11/2021,33803,33803,32716,32953,-2.93,285607,1
09/11/2021,33500,33959,33278,33947,1.67,420371,1
08/11/2021,33401,33530,33071,33390,0.736,342544,1
05/11/2021,33312,33594,32673,33146,0.184,385752,1
04/11/2021,32583,33581,32583,33085,1.62,528099,1
03/11/2021,33662,33685,31913,32558,-4.15,746952,1
02/11/2021,36094,36900,33034,33969,3.37,1383387,1
01/11/2021,33192,33299,32473,32860,-0.961,671162,1
29/10/2021,32580,33230,32425,33179,1.53,471074,1
28/10/2021,32356,32769,32356,32678,1.79,366297,1
27/10/2021,32542,32577,31979,32104,-1.66,375464,1
26/10/2021,32391,32721,32251,32646,0.806,331085,1
25/10/2021,32514,32630,32166,32385,-0.216,432637,1
22/10/2021,31981,32477,31981,32455,1.45,424425,1
21/10/2021,31446,31994,31446,31990,1.58,529608,1
20/10/2021,32181,32181,31292,31493,-1.52,363140,1
19/10/2021,31760,32024,31720,31980,1.16,340895,1
18/10/2021,30966,31647,30956,31612,1.49,257296,1
15/10/2021,31229,31472,31107,31147,0.358,330799,1
14/10/2021,30908,31036,30638,31036,1.31,457953,1
13/10/2021,30384,30687,30281,30635,1.75,326121,1
12/10/2021,30383,30449,29988,30109,-0.232,452374,1
11/10/2021,30317,30504,30126,30179,-0.76,250478,1
08/10/2021,30535,30738,30296,30410,-0.36,383311,1
07/10/2021,30932,30954,30509,30520,0.431,667118,1
06/10/2021,30833,31050,29997,30389,-2.5,836430,1
05/10/2021,30799,31345,30714,31169,2.18,507525,1
04/10/2021,30552,30967,29998,30503,-0.372,675107,1
01/10/2021,30600,30947,30249,30617,0.724,883418,1
30/09/2021,30893,30964,30269,30397,-1.18,561702,1
29/09/2021,30601,31094,30502,30761,1.22,464706,1
28/09/2021,31178,31178,30362,30390,-3.49,621759,1
27/09/2021,32393,32393,31284,31488,-3.11,411766,1
24/09/2021,32200,32720,32200,32498,0.204,332356,1
23/09/2021,32004,32480,32000,32432,2.47,524865,1
22/09/2021,30973,31927,30973,31650,3.07,729303,1
21/09/2021,31399,31615,30707,30707,-1.61,868499,1
20/09/2021,30201,31209,30201,31209,0.512,421226,1
17/09/2021,31529,31733,30934,31050,-1.79,1462999,1
16/09/2021,31773,31791,31330,31617,-0.18,379753,1
15/09/2021,31061,31766,30956,31674,1.82,551616,1
14/09/2021,31051,31432,31000,31108,0.644,361605,1
13/09/2021,31474,31490,30609,30909,-1.34,477770,1
10/09/2021,31784,31784,31208,31329,-0.732,505270,1
09/09/2021,31263,31830,31211,31560,0.895,532500,1
08/09/2021,31070,31451,31017,31280,0.375,391985,1
07/09/2021,31279,31280,30707,31163,-0.524,583226,1
03/09/2021,31027,31576,30969,31327,0.446,368838,1
02/09/2021,31084,31244,30908,31188,0.896,422853,1
01/09/2021,30880,31067,30660,30911,0.237,511055,1
31/08/2021,30683,30989,30506,30838,0.427,731114,1
30/08/2021,30736,30936,30559,30707,-0.273,347466,1
27/08/2021,30674,30992,30534,30791,0.614,441325,1
26/08/2021,30776,30846,30506,30603,-0.257,414159,1
25/08/2021,30104,30785,30085,30682,1.88,468491,1
24/08/2021,30240,30465,30062,30116,-0.308,446018,1
23/08/2021,30420,30646,30165,30209,0.00332,648063,1
20/08/2021,30450,30450,30043,30208,-0.103,490972,1
19/08/2021,29858,30306,29724,30239,0.166,676854,1
18/08/2021,30924,31258,30165,30189,-2.49,800356,1
17/08/2021,30737,31033,30564,30961,0.344,741219,1
16/08/2021,30454,30888,30124,30855,1.27,456193,1
13/08/2021,30209,30557,30151,30468,0.283,513388,1
12/08/2021,29618,30484,29453,30382,2.83,827969,1
11/08/2021,29222,29678,29157,29547,1.3,597177,1
10/08/2021,28821,29327,28815,29168,0.708,358881,1
09/08/2021,29137,29177,28656,28963,-1.14,452420,1
06/08/2021,29495,29582,28804,29298,-0.782,675056,1
05/08/2021,28973,29642,28973,29529,1.93,887676,1
04/08/2021,29620,29950,28959,28971,-1.46,964280,1
03/08/2021,27190,29442,27065,29400,11.2,1501571,1
02/08/2021,26560,26757,26408,26435,-0.0454,864704,1
30/07/2021,26260,26528,26229,26447,0.441,443527,1
29/07/2021,26310,26518,26123,26331,0.519,379834,1
28/07/2021,26580,26580,26193,26195,-0.983,274985,1
27/07/2021,26181,26471,26013,26455,0.494,344080,1
26/07/2021,26025,26353,25900,26325,1.1,545030,1
23/07/2021,25999,26143,25860,26039,1.36,409141,1
22/07/2021,25699,25732,25331,25690,0.136,589361,1
21/07/2021,25605,25723,25505,25655,0.419,489001,1
20/07/2021,25476,25645,25355,25548,0.413,755334,1
19/07/2021,24828,25443,24741,25443,0.482,1106947,1
16/07/2021,25522,25566,25213,25321,-0.268,332318,1
15/07/2021,25338,25521,25173,25389,-0.126,441806,1
14/07/2021,25632,25650,25357,25421,-0.734,350962,1
13/07/2021,25689,25732,25564,25609,-0.191,420314,1
12/07/2021,25644,25741,25529,25658,0.0195,414589,1
09/07/2021,25635,25713,25387,25653,0.96,480402,1
08/07/2021,25273,25705,25154,25409,-1.05,470669,1
07/07/2021,25469,25831,25420,25679,0.963,656811,1
06/07/2021,25369,25497,25097,25434,0.268,614593,1
02/07/2021,24913,25531,24859,25366,2.17,1151243,1
01/07/2021,24305,24900,24305,24827,2.6,684930,1
30/06/2021,24245,24294,23968,24197,-0.53,532614,1
29/06/2021,24205,24389,24154,24326,1.31,460015,1
28/06/2021,24271,24362,23885,24012,-0.822,475473,1
25/06/2021,23829,24257,23781,24211,1.6,814579,1
24/06/2021,24000,24045,23711,23829,0.0294,708352,1
23/06/2021,24006,24052,23822,23822,-0.738,404024,1
22/06/2021,23887,24083,23563,23999,0.452,636368,1
21/06/2021,23412,23991,23383,23891,2.44,767124,1
18/06/2021,23200,23512,23200,23322,-0.299,1185592,1
17/06/2021,23292,23501,23080,23392,0.0513,551149,1
16/06/2021,23476,23476,23055,23380,-0.532,662731,1
15/06/2021,23122,23505,22820,23505,2.45,798163,1
14/06/2021,23266,23357,22895,22943,-1.59,1039610,1
11/06/2021,23149,23414,23149,23313,0.948,513936,1
10/06/2021,23057,23223,22853,23094,0.339,744164,1
09/06/2021,23142,23287,23016,23016,-0.896,538300,1
08/06/2021,23204,23403,22975,23224,0.489,836857,1
07/06/2021,23450,23504,22858,23111,-1.34,796004,1
04/06/2021,23525,23607,23142,23426,0.498,817076,1
03/06/2021,23283,23499,23197,23310,-0.214,474295,1
02/06/2021,23417,23541,23211,23360,0.193,944310,1
01/06/2021,23236,23425,23155,23315,0.47,829532,1
28/05/2021,23366,23366,23094,23206,-0.472,575530,1
27/05/2021,23244,23438,23146,23316,0.491,908100,1
26/05/2021,23241,23328,23008,23202,0.082,538483,1
25/05/2021,23307,23425,23076,23183,-0.459,496576,1
24/05/2021,23334,23419,23195,23290,0.306,435671,1
21/05/2021,23265,23512,23131,23219,0.181,571387,1
20/05/2021,22734,23387,22706,23177,2.19,567352,1
19/05/2021,22261,22715,22155,22681,0.693,667022,1
18/05/2021,22837,22877,22521,22525,-1.45,816122,1
17/05/2021,22942,22970,22745,22856,-1.21,365125,1
14/05/2021,23114,23279,23041,23136,0.736,385315,1
13/05/2021,22460,23007,22415,22967,2.94,587964,1
12/05/2021,22400,22721,22299,22311,-0.827,452868,1
11/05/2021,22964,22993,22422,22497,-2.64,1088511,1
10/05/2021,23263,23555,23108,23108,-1.14,634358,1
07/05/2021,23171,23433,23055,23375,0.941,675165,1
06/05/2021,23154,23276,22722,23157,0.169,646448,1
05/05/2021,22761,23393,22075,23118,2.29,1689472,1
04/05/2021,23270,23909,21930,22600,14.5,2727175,1
03/05/2021,19736,19835,19604,19731,0.859,472637,1
30/04/2021,19678,19780,19553,19563,-1.15,433204,1
29/04/2021,19866,19886,19716,19791,0.274,368220,1
28/04/2021,19880,19948,19730,19737,-0.338,372776,1
27/04/2021,19847,19847,19675,19804,0.0707,386474,1
26/04/2021,19932,19997,19714,19790,-0.822,529220,1
23/04/2021,19658,20035,19658,19954,1.93,603489,1
22/04/2021,19320,19700,19290,19576,1.31,535769,1
21/04/2021,19102,19433,19102,19322,0.914,529402,1
20/04/2021,19173,19264,18945,19147,-0.344,638438,1
19/04/2021,19165,19260,19095,19213,-0.0156,365555,1
16/04/2021,19133,19289,19114,19216,0.808,527725,1
15/04/2021,18957,19121,18915,19062,0.959,332581,1
14/04/2021,18931,19151,18822,18881,-0.259,471780,1
13/04/2021,18828,18995,18776,18930,0.451,622962,1
12/04/2021,18840,19019,18703,18845,0.287,658817,1
09/04/2021,18754,18824,18599,18791,0.783,979867,1
08/04/2021,18795,18917,18639,18645,-0.449,678285,1
07/04/2021,18997,19135,18536,18729,-1,2214216,1
06/04/2021,18946,19031,18816,18919,-0.222,1013968,1
