Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,22313,22422,21315,21315,-2.36,25964124,1
30/11/2021,22084,22185,21589,21831,-1.96,64908364,1
29/11/2021,22640,22675,22124,22267,-0.206,45982416,1
26/11/2021,22484,22616,21964,22313,-3.67,62595376,1
24/11/2021,22941,23199,22854,23164,0.169,24099292,1
23/11/2021,23138,23300,22862,23125,-0.203,33843832,1
22/11/2021,23427,23574,23162,23172,-0.43,31042788,1
19/11/2021,23334,23441,23239,23272,-0.924,33994316,1
18/11/2021,23693,23707,23306,23489,-0.449,30637502,1
17/11/2021,23807,23813,23513,23595,-1.27,26527764,1
16/11/2021,23797,23936,23696,23898,0.222,21925180,1
15/11/2021,24071,24072,23755,23845,-0.434,27390660,1
12/11/2021,23976,24021,23875,23949,0.104,20526820,1
11/11/2021,23831,24038,23766,23924,0.796,17987496,1
10/11/2021,24006,24156,23632,23735,-1.58,32471632,1
09/11/2021,24205,24253,23954,24115,-0.557,29895916,1
08/11/2021,24373,24446,24193,24250,0.302,31324548,1
05/11/2021,24131,24340,24020,24177,1.38,42041676,1
04/11/2021,23946,24094,23758,23848,-0.0712,26514024,1
03/11/2021,23407,23981,23392,23865,1.79,47648496,1
02/11/2021,23441,23485,23265,23445,0.214,24949814,1
01/11/2021,22930,23417,22889,23395,2.56,35500824,1
29/10/2021,22784,22883,22696,22811,0.0175,20777666,1
28/10/2021,22480,22826,22478,22807,1.99,22890648,1
27/10/2021,22725,22746,22350,22363,-1.83,27088452,1
26/10/2021,23007,23072,22780,22780,-0.806,25290160,1
25/10/2021,22802,22998,22728,22965,1.01,16387146,1
22/10/2021,22773,22839,22569,22735,-0.268,16886970,1
21/10/2021,22725,22901,22662,22796,0.259,17851630,1
20/10/2021,22592,22798,22512,22737,0.682,18130548,1
19/10/2021,22608,22687,22461,22583,0.338,15498365,1
18/10/2021,22391,22568,22373,22507,-0.00889,19083200,1
15/10/2021,22792,22841,22506,22509,-0.27,27555232,1
14/10/2021,22476,22599,22432,22570,1.38,18160062,1
13/10/2021,22199,22270,21983,22262,0.456,19676172,1
12/10/2021,22090,22247,22036,22161,0.595,18800336,1
11/10/2021,22189,22355,22026,22030,-0.582,15929780,1
08/10/2021,22350,22411,22150,22159,-0.766,17989556,1
07/10/2021,22148,22495,22138,22330,1.58,24289332,1
06/10/2021,21868,22020,21676,21983,-0.525,32893868,1
05/10/2021,22096,22306,21988,22099,0.331,20407608,1
04/10/2021,22214,22231,21893,22026,-0.976,32580436,1
01/10/2021,21987,22350,21774,22243,1.73,32647020,1
30/09/2021,22199,22261,21861,21864,-0.978,33154352,1
29/09/2021,22234,22266,22018,22080,-0.248,23628860,1
28/09/2021,22530,22560,22086,22135,-2.25,39938156,1
27/09/2021,22357,22767,22355,22645,1.52,29743232,1
24/09/2021,22302,22436,22184,22306,-0.783,28866026,1
23/09/2021,22210,22565,22157,22482,1.78,31057848,1
22/09/2021,21917,22255,21907,22089,1.54,32100324,1
21/09/2021,21870,21929,21582,21755,0.143,26711164,1
20/09/2021,21745,21899,21422,21724,-2.31,44958536,1
17/09/2021,22168,22303,22064,22237,0.0855,39957580,1
16/09/2021,22251,22334,22026,22218,-0.054,22369030,1
15/09/2021,22004,22274,21946,22230,1.02,27572014,1
14/09/2021,22374,22376,21908,22005,-1.27,30312554,1
13/09/2021,22324,22338,22025,22289,0.564,34693064,1
10/09/2021,22515,22528,22153,22164,-1.02,24366128,1
09/09/2021,22353,22629,22296,22392,0.0223,27180476,1
08/09/2021,22568,22597,22263,22387,-1.14,25241516,1
07/09/2021,22783,22900,22625,22645,-0.662,19153388,1
03/09/2021,22832,22897,22719,22796,-0.45,18252374,1
02/09/2021,22831,22984,22760,22899,0.681,22849904,1
01/09/2021,22667,22824,22487,22744,0.695,20451506,1
31/08/2021,22549,22660,22434,22587,0.169,20839804,1
30/08/2021,22729,22734,22498,22549,-0.389,20733336,1
27/08/2021,22066,22703,22058,22637,2.76,33998456,1
26/08/2021,22202,22316,21975,22030,-1.04,22380324,1
25/08/2021,22179,22397,22085,22262,0.379,21548024,1
24/08/2021,22033,22192,21969,22178,0.988,18677896,1
23/08/2021,21753,21994,21748,21961,1.93,25778832,1
20/08/2021,21205,21601,21142,21545,1.64,31759532,1
19/08/2021,21245,21406,21068,21198,-1.22,38119880,1
18/08/2021,21607,21804,21437,21460,-0.827,29102340,1
17/08/2021,21681,21743,21375,21639,-1.22,35161520,1
16/08/2021,21985,22025,21765,21907,-0.932,24120034,1
13/08/2021,22298,22329,22070,22113,-0.887,20813674,1
12/08/2021,22352,22369,22171,22311,-0.255,23305194,1
11/08/2021,22303,22372,22047,22368,0.503,25691282,1
10/08/2021,22264,22322,22119,22256,0.176,22681588,1
09/08/2021,22287,22319,22121,22217,-0.559,17225596,1
06/08/2021,22373,22521,22214,22342,0.626,24429216,1
05/08/2021,21912,22243,21868,22203,1.81,23915216,1
04/08/2021,21908,22120,21789,21808,-1.25,25588462,1
03/08/2021,22076,22110,21710,22085,0.418,27798644,1
02/08/2021,22239,22455,21964,21993,-0.534,24192604,1
30/07/2021,22156,22405,22028,22111,-0.638,28473020,1
29/07/2021,22257,22444,22215,22253,0.715,22634836,1
28/07/2021,21890,22259,21741,22095,1.53,33043684,1
27/07/2021,21880,21908,21538,21763,-1.17,35063568,1
26/07/2021,22031,22205,21915,22021,0.337,22194196,1
23/07/2021,21986,21994,21691,21947,0.453,23660330,1
22/07/2021,22147,22153,21758,21848,-1.64,32878958,1
21/07/2021,21942,22222,21936,22213,1.76,28278730,1
20/07/2021,21248,21927,21126,21829,2.99,40794552,1
19/07/2021,21058,21445,20906,21195,-1.39,58570960,1
16/07/2021,21977,21981,21447,21494,-1.26,36620208,1
15/07/2021,21790,21906,21494,21769,-0.548,45476976,1
14/07/2021,22362,22436,21855,21889,-1.57,30594072,1
13/07/2021,22526,22574,22222,22239,-1.88,25357534,1
12/07/2021,22563,22689,22455,22665,0.159,16831028,1
09/07/2021,22413,22645,22334,22629,2.03,23976354,1
08/07/2021,21932,22408,21786,22178,-0.894,42297884,1
07/07/2021,22558,22667,22181,22378,-0.952,28521454,1
06/07/2021,22941,22942,22387,22593,-1.41,27771266,1
02/07/2021,23195,23202,22856,22917,-0.985,21029728,1
01/07/2021,23082,23185,22972,23145,0.907,18089140,1
30/06/2021,22871,23032,22776,22937,-0.0131,26039028,1
29/06/2021,23129,23173,22877,22940,-0.438,18844314,1
28/06/2021,23222,23259,22877,23041,-0.664,25005986,1
25/06/2021,23233,23341,23175,23195,0.0172,27619032,1
24/06/2021,23008,23191,22949,23191,1.4,21732460,1
23/06/2021,22814,22996,22810,22871,0.281,22387484,1
22/06/2021,22643,22841,22472,22807,0.538,21188548,1
21/06/2021,22395,22750,22329,22685,2.25,26736350,1
18/06/2021,22389,22574,22113,22185,-2.36,54023732,1
17/06/2021,22936,23020,22452,22721,-1.19,48292456,1
16/06/2021,22970,23068,22765,22994,-0.204,24526976,1
15/06/2021,23123,23147,22848,23041,-0.277,17039888,1
14/06/2021,23235,23335,23015,23105,-0.298,19182832,1
11/06/2021,23033,23180,23007,23174,1.01,16707152,1
10/06/2021,23176,23218,22871,22942,-0.864,29068994,1
09/06/2021,23357,23364,23099,23142,-0.631,18700648,1
08/06/2021,23126,23348,22998,23289,1.07,27770308,1
07/06/2021,22797,23077,22795,23043,1.32,24049856,1
04/06/2021,22750,22806,22621,22742,0.446,19395788,1
03/06/2021,22700,22762,22404,22641,-0.854,24811508,1
02/06/2021,22887,22887,22683,22836,0.105,18927548,1
01/06/2021,22749,22856,22596,22812,1.09,23081522,1
28/05/2021,22712,22718,22505,22565,0.0133,20668438,1
27/05/2021,22484,22636,22419,22562,0.989,21225724,1
26/05/2021,22030,22369,22028,22341,1.86,20388238,1
25/05/2021,22220,22371,21919,21933,-0.939,20514900,1
24/05/2021,22121,22244,22001,22141,0.636,18324180,1
21/05/2021,22129,22236,21952,22001,0.301,24213724,1
20/05/2021,21815,21986,21633,21935,0.647,24932752,1
19/05/2021,21600,21816,21405,21794,-0.779,31202832,1
18/05/2021,22156,22324,21947,21965,-0.728,24564504,1
17/05/2021,21973,22139,21790,22126,0.204,20048544,1
14/05/2021,21794,22141,21568,22081,2.35,25070400,1
13/05/2021,21315,21744,21180,21573,1.75,37739892,1
12/05/2021,21689,21876,21154,21202,-3.2,42117204,1
11/05/2021,21489,22039,21442,21904,-0.319,39519616,1
10/05/2021,22536,22567,21959,21974,-2.52,28109168,1
07/05/2021,22268,22593,22216,22541,1.26,26172680,1
06/05/2021,22266,22281,21864,22260,0.0539,27647252,1
05/05/2021,22440,22454,22137,22248,-0.39,25142010,1
04/05/2021,22475,22614,22096,22335,-1.18,26892736,1
03/05/2021,22704,22741,22493,22602,0.485,18693364,1
30/04/2021,22579,22780,22414,22493,-1.36,27006492,1
29/04/2021,23070,23090,22579,22803,-0.424,25501348,1
28/04/2021,22806,22949,22710,22900,0.223,16222739,1
27/04/2021,22875,22939,22752,22849,0.175,19649238,1
26/04/2021,22702,22869,22675,22809,1.02,19069276,1
23/04/2021,22284,22665,22203,22578,1.84,28409380,1
22/04/2021,22335,22533,22078,22171,-0.351,31941034,1
21/04/2021,21688,22262,21550,22249,2.4,31147780,1
20/04/2021,22084,22162,21524,21728,-2.06,35570656,1
19/04/2021,22372,22466,21994,22186,-1.31,25279486,1
16/04/2021,22546,22567,22302,22480,0.232,23942972,1
15/04/2021,22491,22512,22226,22428,0.376,20585236,1
14/04/2021,22185,22600,22180,22344,1.03,27365204,1
13/04/2021,22148,22257,21884,22116,-0.324,24608460,1
12/04/2021,22268,22293,22040,22188,-0.359,20534814,1
09/04/2021,22252,22309,22124,22268,0.0584,23269692,1
08/04/2021,22186,22282,21939,22255,0.866,23988808,1
07/04/2021,22427,22436,21994,22064,-1.66,26233700,1
06/04/2021,22505,22669,22384,22437,-0.205,24907760,1
05/04/2021,22641,22654,22357,22483,0.411,27826550,1
01/04/2021,22235,22391,22202,22391,1.31,29799904,1
31/03/2021,21916,22240,21912,22102,1.34,34800688,1
30/03/2021,21431,21868,21314,21810,1.71,36205708,1
29/03/2021,21907,22092,21408,21444,-2.78,38079444,1
26/03/2021,21895,22068,21596,22058,1.76,34455776,1
25/03/2021,20924,21752,20803,21676,2.19,59246072,1
24/03/2021,21978,22133,21205,21212,-2.34,47270324,1
23/03/2021,22343,22386,21603,21721,-3.56,43666352,1
22/03/2021,22767,22810,22410,22523,-0.784,26128436,1
19/03/2021,22472,22860,22295,22701,0.768,40855624,1
18/03/2021,23081,23292,22463,22528,-3.05,35726300,1
17/03/2021,22896,23282,22736,23237,0.838,29422584,1
16/03/2021,23403,23409,22912,23044,-1.71,24675008,1
15/03/2021,23333,23453,23196,23445,0.317,21543170,1
12/03/2021,23186,23415,23137,23371,0.663,23732176,1
11/03/2021,22963,23228,22880,23217,2.23,25256868,1
10/03/2021,22561,22897,22520,22710,1.72,36812200,1
09/03/2021,22220,22498,22092,22327,2.04,32247276,1
08/03/2021,21922,22227,21769,21880,0.561,40619724,1
05/03/2021,21680,21815,20721,21758,1.95,53204872,1
04/03/2021,21853,22069,20943,21342,-2.66,59127664,1
03/03/2021,22272,22426,21921,21926,-1.09,33407716,1
02/03/2021,22570,22596,22155,22168,-1.99,26895436,1
01/03/2021,22367,22671,22294,22617,3.9,26162000,1
26/02/2021,21937,22222,21481,21769,-0.407,47739048,1
25/02/2021,22679,22758,21801,21858,-3.73,49961440,1
24/02/2021,22263,22745,22171,22704,2.39,27584916,1
23/02/2021,22082,22298,21557,22173,-0.894,38646784,1
22/02/2021,22366,22639,22298,22373,-0.626,23272100,1
19/02/2021,22251,22628,22217,22514,2.03,31238156,1
18/02/2021,22230,22267,21939,22067,-1.52,24501508,1
17/02/2021,22378,22474,22096,22408,-0.788,25163196,1
16/02/2021,22950,22963,22479,22586,-0.603,22999508,1
12/02/2021,22582,22773,22464,22723,0.265,17440692,1
11/02/2021,22820,22900,22342,22663,-0.119,25847586,1
10/02/2021,22996,23031,22495,22690,-0.665,27955436,1
09/02/2021,22719,22962,22631,22842,0.506,19510942,1
08/02/2021,22383,22733,22340,22727,2.55,20835902,1
05/02/2021,22088,22184,21877,22161,1.36,23338798,1
04/02/2021,21517,21883,21508,21864,2.06,25400832,1
03/02/2021,21377,21474,21159,21423,0.365,23923244,1
02/02/2021,21314,21404,21091,21345,1.35,22773106,1
01/02/2021,20822,21156,20576,21060,2.5,26375100,1
29/01/2021,20970,21099,20485,20547,-1.57,40591916,1
28/01/2021,21083,21237,20763,20875,-0.372,32202540,1
27/01/2021,20939,21299,20731,20953,-1.77,45830168,1
26/01/2021,21633,21669,21277,21331,-0.768,23969824,1
25/01/2021,21500,21789,21161,21496,-0.00465,33984984,1
22/01/2021,21049,21532,21001,21497,1.16,24800216,1
21/01/2021,21484,21516,21195,21251,-0.868,21236918,1
20/01/2021,21423,21598,21307,21437,0.407,25385044,1
19/01/2021,21333,21361,21172,21350,1.34,19749728,1
15/01/2021,21125,21396,20826,21067,-1.56,41043472,1
14/01/2021,21119,21500,21116,21400,2.04,33913728,1
13/01/2021,21149,21173,20919,20973,-0.691,22782228,1
12/01/2021,20858,21139,20849,21119,1.75,24892230,1
11/01/2021,20510,20809,20483,20755,-0.0674,21000528,1
08/01/2021,20935,20977,20466,20769,-0.226,29016980,1
07/01/2021,20593,20852,20570,20816,1.74,24031396,1
06/01/2021,19926,20678,19916,20459,4.05,52952236,1
05/01/2021,19316,19761,19309,19662,1.61,27442944,1
04/01/2021,19752,19789,19094,19351,-1.48,33664240,1
31/12/2020,19662,19684,19462,19641,-0.0509,24747744,1
30/12/2020,19510,19747,19503,19651,1.02,20595684,1
29/12/2020,19843,19900,19344,19453,-1.93,33901256,1
28/12/2020,20104,20118,19813,19835,-0.327,27168444,1
24/12/2020,19991,19993,19807,19900,-0.0603,8904865,1
23/12/2020,19857,19965,19791,19912,0.861,18392048,1
22/12/2020,19609,19772,19539,19742,1.14,22031442,1
21/12/2020,19181,19577,19148,19519,-0.0563,30877468,1
18/12/2020,19665,19783,19480,19530,-0.504,37033376,1
17/12/2020,19476,19638,19406,19629,1.25,23834154,1
16/12/2020,19517,19521,19296,19386,-0.498,25484652,1
15/12/2020,19173,19490,19075,19483,2.44,26906346,1
14/12/2020,19200,19311,18989,19019,-0.0368,32237656,1
11/12/2020,18990,19172,18831,19026,-0.538,30864992,1
10/12/2020,18786,19165,18731,19129,1.05,21245294,1
09/12/2020,19206,19280,18790,18931,-0.771,29507618,1
08/12/2020,18728,19098,18709,19078,1.26,20165590,1
07/12/2020,18824,18895,18744,18840,0.0903,14671515,1
04/12/2020,18510,18845,18392,18823,2.33,24415714,1
03/12/2020,18339,18518,18294,18394,0.547,19604050,1
02/12/2020,18196,18348,18076,18294,0.17,20142804,1
01/12/2020,18360,18422,18102,18263,0.734,30324340,1
30/11/2020,18385,18432,18033,18130,-1.7,25481588,1
27/11/2020,18374,18449,18322,18443,0.551,10384405,1
25/11/2020,18343,18431,18190,18342,-0.413,21082744,1
24/11/2020,18340,18544,18236,18418,1.84,34945396,1
23/11/2020,17936,18199,17873,18086,1.91,24816040,1
20/11/2020,17673,17794,17583,17747,0.0846,24898766,1
19/11/2020,17560,17759,17508,17732,0.79,20187596,1
18/11/2020,17901,17972,17586,17593,-1.44,24377912,1
17/11/2020,17597,17880,17428,17850,0.552,26154528,1
16/11/2020,17654,17778,17542,17752,2.35,31812364,1
13/11/2020,17146,17413,17135,17344,2.04,25494406,1
12/11/2020,17134,17264,16834,16998,-1.55,34011364,1
11/11/2020,17330,17347,17086,17265,0.0174,23973136,1
10/11/2020,17124,17333,16976,17262,1.73,35492160,1
09/11/2020,17610,17797,16933,16969,3.75,55053200,1
06/11/2020,16562,16571,16330,16355,-0.849,24930386,1
05/11/2020,16203,16558,16191,16495,2.85,31910984,1
04/11/2020,15825,16234,15775,16038,0.0936,45226280,1
03/11/2020,15833,16123,15806,16023,2.84,30257380,1
02/11/2020,15474,15588,15366,15581,1.76,25252096,1
30/10/2020,15435,15528,15139,15311,-1.29,31732984,1
29/10/2020,15274,15578,15169,15511,1.18,27203172,1
28/10/2020,15465,15544,15305,15330,-3.09,32340038,1
27/10/2020,15942,16006,15795,15818,-0.89,20523412,1
26/10/2020,16087,16137,15738,15960,-2.07,26509948,1
23/10/2020,16303,16332,16125,16298,0.543,20890236,1
22/10/2020,16009,16219,15920,16210,1.73,20673932,1
21/10/2020,16088,16136,15929,15934,-0.865,17394512,1
20/10/2020,16155,16245,16034,16073,0.175,18927696,1
19/10/2020,16299,16403,16003,16045,-1.16,18360612,1
16/10/2020,16317,16370,16232,16233,-0.276,17643676,1
15/10/2020,15928,16318,15881,16278,1.03,22865136,1
14/10/2020,16298,16390,16094,16112,-0.947,19062916,1
13/10/2020,16250,16322,16148,16266,-0.684,20106460,1
12/10/2020,16333,16424,16260,16378,0.682,20336192,1
09/10/2020,16331,16370,16182,16267,0.525,25038060,1
08/10/2020,16174,16227,16058,16182,1.12,37278552,1
07/10/2020,15858,16055,15846,16002,2.17,27049660,1
06/10/2020,15851,16101,15634,15662,-0.306,36347976,1
05/10/2020,15460,15730,15449,15710,2.75,18553610,1
02/10/2020,14922,15358,14899,15289,0.493,29451992,1
01/10/2020,15080,15220,14949,15214,1.64,25871962,1
30/09/2020,14994,15197,14851,14969,0.208,29073746,1
29/09/2020,14979,15027,14800,14938,-0.5,18703036,1
28/09/2020,14841,15044,14640,15013,2.53,17600904,1
25/09/2020,14341,14685,14335,14642,1.66,20689266,1
24/09/2020,14393,14653,14209,14403,-0.0347,31723748,1
23/09/2020,14843,14943,14398,14408,-3.33,33403388,1
22/09/2020,14842,14930,14657,14905,0.716,19385790,1
21/09/2020,14973,15025,14634,14799,-3.45,40652520,1
18/09/2020,15407,15529,15114,15328,-0.286,38352760,1
17/09/2020,15262,15440,15175,15372,-0.704,20002880,1
16/09/2020,15424,15684,15385,15481,0.985,22210880,1
15/09/2020,15437,15470,15286,15330,0.157,16175459,1
14/09/2020,15072,15343,15037,15306,2.66,21991292,1
11/09/2020,15085,15105,14768,14909,-0.739,20850988,1
10/09/2020,15280,15388,15007,15020,-1.28,23005486,1
09/09/2020,15141,15278,15058,15214,1.51,19254454,1
08/09/2020,15090,15248,14905,14987,-1.9,26447776,1
04/09/2020,15559,15586,14931,15277,-0.708,30618784,1
03/09/2020,15812,15829,15296,15386,-2.9,32117584,1
02/09/2020,15767,15898,15618,15846,0.763,16763449,1
01/09/2020,15519,15731,15445,15726,1.26,15654144,1
31/08/2020,15721,15736,15530,15531,-1.17,17051512,1
28/08/2020,15650,15720,15575,15715,0.847,12371402,1
27/08/2020,15599,15700,15464,15583,0.244,17508372,1
26/08/2020,15643,15677,15519,15545,-0.614,13772726,1
25/08/2020,15676,15680,15479,15641,0.109,16269657,1
24/08/2020,15576,15627,15433,15624,1.07,13707136,1
