Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,10837,10952,10551,10559,-1.57,5704084,1
30/11/2021,10868,10910,10692,10727,-1.96,13914175,1
29/11/2021,10909,11024,10843,10942,0.978,9997885,1
26/11/2021,10976,10993,10801,10836,-2.8,7050900,1
24/11/2021,10988,11154,10979,11148,1.19,5042461,1
23/11/2021,10928,11032,10896,11017,0.907,6294154,1
22/11/2021,10997,11013,10903,10918,-0.637,4993345,1
19/11/2021,11036,11048,10944,10988,-0.444,6454759,1
18/11/2021,11053,11057,10986,11037,-0.0272,5398653,1
17/11/2021,10975,11052,10836,11040,0.345,6854126,1
16/11/2021,11082,11084,10976,11002,-0.551,4826685,1
15/11/2021,11018,11072,10975,11063,0.527,4996978,1
12/11/2021,11029,11033,10963,11005,0.0727,4328311,1
11/11/2021,11000,11006,10922,10997,0.182,2752052,1
10/11/2021,10999,11062,10971,10977,-0.499,4840884,1
09/11/2021,11024,11046,10993,11032,0.254,3419080,1
08/11/2021,11043,11049,10926,11004,-0.154,4248750,1
05/11/2021,11060,11146,10993,11021,0.428,6082884,1
04/11/2021,11080,11120,10936,10974,-0.885,4961622,1
03/11/2021,11049,11100,10990,11072,0.235,4774757,1
02/11/2021,11057,11093,10964,11046,0.373,6165240,1
01/11/2021,10990,11030,10836,11005,0.255,9795747,1
29/10/2021,11059,11089,10925,10977,-1.05,8811232,1
28/10/2021,10984,11101,10963,11093,1.21,7503075,1
27/10/2021,11103,11118,10955,10960,-0.985,7741377,1
26/10/2021,11056,11108,11035,11069,0.29,6085889,1
25/10/2021,11022,11065,10942,11037,0.318,4816642,1
22/10/2021,10969,11033,10954,11002,0.53,8094875,1
21/10/2021,10926,10950,10896,10944,0.339,5806064,1
20/10/2021,10783,10925,10778,10907,1.45,4710333,1
19/10/2021,10790,10821,10751,10751,0.0838,4083974,1
18/10/2021,10672,10779,10654,10742,0.205,6011663,1
15/10/2021,10788,10806,10664,10720,0.056,5649163,1
14/10/2021,10646,10721,10615,10714,1.36,4335126,1
13/10/2021,10486,10585,10422,10570,0.686,6317462,1
12/10/2021,10380,10541,10354,10498,1.34,6262336,1
11/10/2021,10333,10401,10283,10359,0.31,3609387,1
08/10/2021,10430,10430,10322,10327,-0.95,4286062,1
07/10/2021,10461,10549,10410,10426,0.298,6938123,1
06/10/2021,10253,10414,10157,10395,0.893,8038416,1
05/10/2021,10359,10379,10263,10303,-0.627,8068415,1
04/10/2021,10347,10418,10305,10368,-0.0482,10771564,1
01/10/2021,10293,10440,10234,10373,1.32,10761539,1
30/09/2021,10441,10449,10238,10238,-1.62,11283125,1
29/09/2021,10379,10451,10364,10407,0.843,7849818,1
28/09/2021,10340,10380,10263,10320,-0.979,11006080,1
27/09/2021,10543,10612,10387,10422,-1.18,6814577,1
24/09/2021,10627,10671,10521,10546,-1.33,7605244,1
23/09/2021,10756,10782,10681,10688,-0.364,6242616,1
22/09/2021,10691,10785,10648,10727,0.97,7071916,1
21/09/2021,10673,10751,10622,10624,-0.00941,8384974,1
20/09/2021,10580,10682,10500,10625,-0.45,12678129,1
17/09/2021,10759,10802,10666,10673,-0.965,10076877,1
16/09/2021,10771,10829,10695,10777,0.121,6076153,1
15/09/2021,10745,10817,10696,10764,0.326,6245113,1
14/09/2021,10795,10812,10681,10729,-0.242,6397186,1
13/09/2021,10785,10850,10728,10755,0.476,7833165,1
10/09/2021,10867,10870,10703,10704,-1.33,7861128,1
09/09/2021,11004,11012,10844,10848,-1.98,6180474,1
08/09/2021,10962,11097,10943,11067,0.536,10358726,1
07/09/2021,11101,11104,10916,11008,-1.06,14891208,1
03/09/2021,11087,11144,11004,11126,0.0315,15133863,1
02/09/2021,11087,11126,11001,11123,0.474,16311734,1
01/09/2021,10907,11071,10907,11070,1.68,16250281,1
31/08/2021,10815,10897,10778,10887,0.536,8709376,1
30/08/2021,10736,10833,10698,10829,1.05,6984037,1
27/08/2021,10650,10749,10648,10716,0.942,3620854,1
26/08/2021,10636,10653,10577,10616,-0.0753,4458835,1
25/08/2021,10621,10677,10579,10624,-0.0376,4231852,1
24/08/2021,10692,10698,10586,10628,-0.403,3597118,1
23/08/2021,10720,10738,10650,10671,-0.28,4496413,1
20/08/2021,10632,10742,10568,10701,0.526,5076635,1
19/08/2021,10549,10661,10524,10645,0.538,6925870,1
18/08/2021,10667,10673,10583,10588,-1,4409451,1
17/08/2021,10648,10698,10608,10695,0.00935,4903441,1
