Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,29209,29209,28602,28817,-0.932,1426240,1
02/12/2021,28831,29161,28754,29088,1.17,1313452,1
01/12/2021,29413,29577,28744,28753,-1.26,1054400,1
30/11/2021,29410,29576,29108,29119,-1.67,1872475,1
29/11/2021,29621,29907,29607,29615,0.427,862584,1
26/11/2021,29915,30014,29481,29489,-3.11,672976,1
24/11/2021,30477,30561,30308,30435,-0.344,813317,1
23/11/2021,30154,30569,30133,30540,1.28,573641,1
22/11/2021,30459,30528,30109,30155,-0.962,449414,1
19/11/2021,30692,30696,30373,30448,-0.646,600544,1
18/11/2021,30424,30731,30161,30646,0.65,847903,1
17/11/2021,31042,31149,30401,30448,-1.87,1413386,1
16/11/2021,30907,31187,30907,31029,0.33,1306452,1
15/11/2021,31111,31250,30910,30927,-0.54,164891,1
12/11/2021,30900,31118,30863,31095,0.686,578389,1
11/11/2021,31007,31094,30815,30883,-0.535,589722,1
10/11/2021,31060,31238,30984,31049,-0.311,298544,1
09/11/2021,30863,31234,30860,31146,0.711,1324896,1
08/11/2021,30931,30987,30675,30926,0.272,721334,1
05/11/2021,30810,30939,30733,30842,0.515,864190,1
04/11/2021,31052,31063,30628,30684,-1.2,480811,1
03/11/2021,31116,31189,30809,31057,-0.202,695548,1
02/11/2021,30940,31120,30879,31120,0.559,483172,1
01/11/2021,31152,31189,30895,30947,-0.274,430578,1
29/10/2021,30893,31084,30795,31032,0.126,471278,1
28/10/2021,30680,30995,30540,30993,1.79,464897,1
27/10/2021,30479,30795,30435,30449,0.197,781721,1
26/10/2021,30365,30540,30241,30389,0.496,491039,1
25/10/2021,30536,30646,30188,30239,-0.966,604095,1
22/10/2021,30245,30679,30163,30534,1.17,546543,1
21/10/2021,30147,30244,30047,30180,0.322,509782,1
20/10/2021,29710,30147,29596,30083,1.03,1056307,1
19/10/2021,29711,29873,29502,29776,0.037,732815,1
18/10/2021,29483,29765,29395,29765,0.748,552686,1
15/10/2021,29387,29574,29292,29544,1.13,687929,1
14/10/2021,28880,29246,28794,29213,1.83,798527,1
13/10/2021,28423,28706,28331,28689,1.07,467737,1
12/10/2021,28377,28496,28303,28386,0.191,839160,1
11/10/2021,28599,28636,28263,28332,-0.736,731305,1
08/10/2021,28365,28609,28276,28542,0.962,682782,1
07/10/2021,28424,28503,28161,28270,-0.0141,692247,1
06/10/2021,27758,28274,27615,28274,1.18,484937,1
05/10/2021,27837,28171,27711,27944,1,647342,1
04/10/2021,27644,27861,27496,27667,-0.134,1024774,1
01/10/2021,27271,27796,27237,27704,2.23,1327726,1
30/09/2021,27473,27490,27071,27100,-1.03,540162,1
29/09/2021,27601,27670,27275,27382,-0.233,562095,1
28/09/2021,27482,27495,27125,27446,-0.435,647223,1
27/09/2021,27248,27746,27213,27566,1.1,581179,1
24/09/2021,27095,27282,27056,27265,0.327,526064,1
23/09/2021,27095,27312,27079,27176,0.846,885121,1
22/09/2021,27061,27255,26867,26948,0.108,1022388,1
21/09/2021,27400,27400,26919,26919,-0.822,445246,1
20/09/2021,27370,27486,26896,27142,-2.02,653059,1
17/09/2021,28000,28058,27654,27702,-0.979,1230637,1
16/09/2021,28231,28405,27957,27976,-0.59,1387906,1
15/09/2021,28079,28428,27933,28142,0.511,1680624,1
14/09/2021,28138,28226,27977,27999,-0.678,347952,1
13/09/2021,28210,28458,28019,28190,0.456,908311,1
10/09/2021,28526,28608,28002,28062,-1.24,1080296,1
09/09/2021,29051,29051,28354,28414,-2.74,482488,1
08/09/2021,28800,29222,28692,29215,1.7,888831,1
07/09/2021,29150,29367,28661,28727,-1.51,1538716,1
03/09/2021,29504,29695,29104,29168,-1.42,1202474,1
02/09/2021,29136,29616,29102,29589,1.47,1195928,1
01/09/2021,28341,29237,28106,29159,3.99,2918076,1
31/08/2021,29460,29522,27900,28039,-4.47,4821206,1
30/08/2021,29414,29598,29291,29352,-0.262,521030,1
27/08/2021,29288,29487,29265,29429,0.719,612867,1
26/08/2021,29327,29397,29177,29219,-0.463,739940,1
25/08/2021,29279,29406,29136,29355,0.555,554361,1
24/08/2021,29308,29438,29180,29193,-0.0924,501082,1
23/08/2021,29149,29308,29048,29220,0.596,316939,1
20/08/2021,29073,29117,28927,29047,-0.141,484580,1
19/08/2021,29044,29201,28965,29088,-0.377,885049,1
18/08/2021,29172,29328,29137,29198,0.0343,595099,1
17/08/2021,29230,29230,28959,29188,-0.229,807264,1
16/08/2021,29282,29322,29045,29255,-0.0615,1012496,1
13/08/2021,29296,29338,29154,29273,0.14,455093,1
12/08/2021,29292,29292,28983,29232,-0.167,825473,1
11/08/2021,28981,29314,28859,29281,1.11,1378815,1
10/08/2021,28611,29129,28600,28959,7.09,3009160,1
09/08/2021,27101,27242,26897,27041,-0.416,1651547,1
06/08/2021,27107,27388,27107,27154,0.0885,530392,1
05/08/2021,26335,27200,26306,27130,3.64,801429,1
04/08/2021,26666,26666,26168,26177,-1.84,712833,1
03/08/2021,26742,26898,26634,26667,0.441,391634,1
02/08/2021,26889,27040,26550,26550,-0.848,432203,1
30/07/2021,26448,26822,26448,26777,1.26,520357,1
29/07/2021,26279,26600,26272,26445,1.38,517604,1
28/07/2021,26270,26358,26016,26085,-0.191,642340,1
27/07/2021,26552,26576,26033,26135,-2.24,1254361,1
26/07/2021,27101,27112,26696,26733,-1.44,537831,1
23/07/2021,26944,27236,26913,27124,0.478,335035,1
22/07/2021,27000,27100,26887,26995,0.26,567533,1
21/07/2021,26635,27020,26635,26925,1.15,720707,1
20/07/2021,26385,26808,26320,26620,1.06,611435,1
19/07/2021,26288,26585,25985,26341,-1.07,687451,1
16/07/2021,26725,26936,26594,26627,-1.02,1519440,1
15/07/2021,26635,26985,26595,26902,0.666,541829,1
14/07/2021,26825,26992,26589,26724,-0.406,624594,1
13/07/2021,27046,27078,26790,26833,-0.769,536952,1
12/07/2021,27186,27201,26960,27041,-1.46,660310,1
09/07/2021,26611,27572,26550,27442,4.45,1825502,1
08/07/2021,26391,26640,26054,26273,-7.81,3774074,1
07/07/2021,28247,28624,28247,28498,0.703,522490,1
06/07/2021,28355,28355,27963,28299,-0.566,627935,1
02/07/2021,28455,28593,28404,28460,-0.137,500470,1
01/07/2021,28344,28580,28300,28499,0.757,330110,1
30/06/2021,28472,28552,28223,28285,-0.765,788026,1
29/06/2021,28358,28554,28326,28503,0.281,491092,1
28/06/2021,28600,28627,28386,28423,-0.556,530511,1
25/06/2021,28614,28790,28550,28582,0.193,966656,1
24/06/2021,28379,28547,28276,28527,0.56,445970,1
23/06/2021,28320,28496,28300,28368,0.0106,788743,1
22/06/2021,28301,28466,28293,28365,0.138,490056,1
21/06/2021,28264,28430,28264,28326,0.515,702156,1
18/06/2021,28485,28500,28146,28181,-1.64,1428400,1
17/06/2021,29093,29117,28642,28651,-1.34,837537,1
16/06/2021,29248,29248,28952,29041,-0.517,598275,1
15/06/2021,29305,29343,29134,29192,-0.116,710146,1
14/06/2021,29304,29442,29069,29226,-0.575,1183821,1
11/06/2021,29464,29524,29382,29395,-0.017,822496,1
10/06/2021,29645,29719,29398,29400,-0.716,605853,1
09/06/2021,29513,29748,29512,29612,0.159,804741,1
08/06/2021,29560,29684,29446,29565,-0.0473,685261,1
07/06/2021,29937,29939,29566,29579,-0.798,785930,1
04/06/2021,29990,30018,29771,29817,-0.264,872885,1
