Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,50283,50678,48576,48580,-1.61,674574,1
30/11/2021,50384,50427,49313,49377,-2.65,1608241,1
29/11/2021,51297,51342,50432,50722,0.105,1068513,1
26/11/2021,51054,51237,50296,50669,-3.19,1607116,1
24/11/2021,52060,52407,51889,52341,-0.0649,917518,1
23/11/2021,52411,52682,51935,52375,-0.122,1110768,1
22/11/2021,52615,52960,52388,52439,0.147,1017752,1
19/11/2021,52379,52587,52154,52362,-0.451,655854,1
18/11/2021,52858,52873,52207,52599,-0.104,959489,1
17/11/2021,52962,52979,52388,52654,-0.829,1098028,1
16/11/2021,53031,53325,52920,53094,0.17,937937,1
15/11/2021,53135,53141,52891,53004,0.144,625405,1
12/11/2021,52827,52976,52743,52928,0.351,656226,1
11/11/2021,52600,52863,52454,52743,0.568,752035,1
10/11/2021,52740,52994,52283,52445,-0.933,806557,1
09/11/2021,52970,53102,52739,52939,-0.0717,765694,1
08/11/2021,53245,53356,52877,52977,0.0415,745162,1
05/11/2021,52904,53318,52688,52955,0.903,758100,1
04/11/2021,52747,53006,52374,52481,-0.357,1165766,1
03/11/2021,51953,52835,51911,52669,1.13,1346861,1
02/11/2021,51974,52192,51733,52082,0.2,963081,1
01/11/2021,51169,52002,51089,51978,2.11,1683773,1
29/10/2021,50808,51148,50732,50905,0.057,696160,1
28/10/2021,50346,50900,50346,50876,1.58,811333,1
27/10/2021,50838,50892,50076,50086,-1.58,878594,1
26/10/2021,51307,51367,50879,50891,-0.627,854323,1
25/10/2021,51086,51395,50894,51212,0.512,714676,1
22/10/2021,50953,51241,50727,50951,0.14,677953,1
21/10/2021,50666,50914,50549,50880,0.272,739915,1
20/10/2021,50352,50839,50292,50742,0.795,775886,1
19/10/2021,50449,50486,50160,50342,0.295,607256,1
18/10/2021,49918,50283,49749,50194,0.206,935127,1
15/10/2021,50431,50620,50067,50091,0.0719,764949,1
14/10/2021,49636,50069,49599,50055,1.66,893723,1
13/10/2021,49110,49301,48645,49237,0.451,879047,1
12/10/2021,48859,49255,48804,49016,0.595,819494,1
11/10/2021,49084,49407,48724,48726,-0.541,695208,1
08/10/2021,49366,49450,48984,48991,-0.609,643160,1
07/10/2021,48935,49612,48935,49291,1.46,1241930,1
06/10/2021,48186,48596,47734,48583,-0.121,1798058,1
05/10/2021,48755,49111,48446,48642,0.0864,1697285,1
04/10/2021,48796,49112,48400,48600,-0.569,1658470,1
01/10/2021,48354,49187,47923,48878,1.69,1735966,1
30/09/2021,49064,49090,48065,48066,-1.55,1533540,1
29/09/2021,48969,49133,48682,48825,0.0102,1247880,1
28/09/2021,49384,49469,48776,48820,-1.56,1696841,1
27/09/2021,49251,49854,49245,49593,0.955,1276247,1
24/09/2021,49008,49325,48870,49124,-0.203,967539,1
23/09/2021,48754,49479,48723,49224,1.37,1104697,1
22/09/2021,48303,48902,48177,48559,1.41,1178625,1
21/09/2021,48282,48349,47634,47882,-0.146,1025084,1
20/09/2021,47832,48097,47340,47952,-1.65,2273568,1
17/09/2021,49079,49211,48603,48756,-1.01,1398848,1
16/09/2021,49365,49504,48974,49251,-0.176,790282,1
15/09/2021,48849,49350,48704,49338,1.09,960319,1
14/09/2021,49471,49489,48661,48805,-1.06,850249,1
13/09/2021,49382,49448,48989,49326,0.649,777125,1
10/09/2021,49733,49777,49000,49008,-0.998,828223,1
09/09/2021,49437,49922,49422,49502,-0.214,1126366,1
08/09/2021,49670,49814,49308,49608,-0.334,818130,1
07/09/2021,50316,50316,49756,49774,-1.13,1054489,1
03/09/2021,50502,50547,50236,50343,-0.496,629546,1
02/09/2021,50511,50731,50357,50594,0.441,917653,1
01/09/2021,50330,50531,49919,50372,0.279,840276,1
31/08/2021,50373,50451,50070,50232,-0.274,620439,1
30/08/2021,50587,50618,50251,50370,-0.242,726094,1
27/08/2021,49643,50577,49627,50492,1.94,1350172,1
26/08/2021,49991,50009,49491,49529,-0.948,951229,1
25/08/2021,49772,50229,49656,50003,0.608,586502,1
24/08/2021,49393,49811,49369,49701,0.934,800848,1
23/08/2021,49150,49312,49029,49241,0.889,640528,1
20/08/2021,48145,48837,48145,48807,1.23,674817,1
19/08/2021,48202,48587,47939,48216,-0.874,859001,1
18/08/2021,48983,49294,48602,48641,-0.911,666844,1
17/08/2021,49273,49311,48593,49088,-1.22,814726,1
16/08/2021,49564,49758,49260,49695,-0.287,435787,1
13/08/2021,49951,49983,49719,49838,-0.13,526411,1
12/08/2021,49963,50035,49638,49903,-0.176,512335,1
11/08/2021,49667,49992,49346,49991,0.825,743342,1
10/08/2021,49466,49711,49265,49582,0.352,1215341,1
09/08/2021,49419,49574,49113,49408,-0.287,446653,1
06/08/2021,49598,49808,49378,49550,0.444,564149,1
05/08/2021,48989,49405,48988,49331,0.991,744490,1
04/08/2021,49089,49401,48847,48847,-1,671649,1
03/08/2021,49232,49366,48659,49341,0.567,899940,1
02/08/2021,49512,50008,49011,49063,-0.353,737841,1
30/07/2021,49105,49687,49076,49237,-0.195,659366,1
29/07/2021,49147,49620,49110,49333,1.02,796313,1
28/07/2021,48642,49082,48185,48836,0.778,574944,1
27/07/2021,48499,48562,48142,48459,-0.632,757178,1
26/07/2021,48731,49048,48618,48767,0.179,657265,1
23/07/2021,48491,48726,48236,48680,0.851,577042,1
22/07/2021,48676,48676,48037,48269,-1.01,812541,1
21/07/2021,48423,48950,48421,48761,1.2,1207647,1
20/07/2021,47029,48396,46840,48184,2.87,1127027,1
19/07/2021,46815,47233,46434,46839,-1.72,1534103,1
16/07/2021,48583,48583,47635,47659,-1.23,825737,1
15/07/2021,48145,48453,47883,48254,-0.347,645553,1
14/07/2021,48897,49180,48325,48422,-0.577,892212,1
13/07/2021,49250,49294,48657,48703,-1.51,717469,1
12/07/2021,49155,49490,48946,49448,0.298,615173,1
09/07/2021,48775,49341,48692,49301,2.09,1143579,1
08/07/2021,48042,48711,47683,48290,-1.21,1108610,1
07/07/2021,48779,49068,48391,48881,0.187,865583,1
06/07/2021,49361,49363,48403,48790,-1.17,1327108,1
02/07/2021,49636,49636,49203,49368,-0.351,1036312,1
01/07/2021,49352,49649,49211,49542,0.931,1472083,1
30/06/2021,49067,49206,48931,49085,-0.0143,738625,1
29/06/2021,49321,49473,48988,49092,-0.0916,714526,1
28/06/2021,49665,49670,48895,49137,-1.09,942888,1
25/06/2021,49389,49704,49237,49681,0.943,711203,1
24/06/2021,49038,49234,48786,49217,0.952,738687,1
23/06/2021,48756,48967,48697,48753,0.0842,701284,1
22/06/2021,48616,48838,48267,48712,0.134,654860,1
21/06/2021,47855,48703,47855,48647,2.39,934705,1
18/06/2021,47875,48164,47511,47511,-2.24,1154183,1
17/06/2021,49355,49414,48220,48602,-1.61,879581,1
16/06/2021,49689,49735,49133,49397,-0.696,998398,1
15/06/2021,49825,49870,49376,49743,-0.0743,839025,1
14/06/2021,50286,50304,49599,49780,-0.88,736030,1
11/06/2021,50060,50234,49934,50222,0.744,1079528,1
10/06/2021,50154,50226,49682,49851,-0.0181,995178,1
09/06/2021,50244,50244,49842,49860,-0.638,858844,1
08/06/2021,49836,50245,49540,50180,0.931,1211106,1
07/06/2021,49889,49941,49620,49717,-0.165,2064244,1
04/06/2021,49787,49839,49495,49799,0.598,816920,1
03/06/2021,49592,49623,49127,49503,-0.544,1002974,1
02/06/2021,50147,50172,49686,49774,-0.522,951449,1
01/06/2021,50115,50130,49788,50035,0.468,1249727,1
28/05/2021,49896,49896,49524,49802,0.203,622231,1
27/05/2021,49748,49852,49618,49701,0.577,854861,1
26/05/2021,49166,49429,49040,49416,0.962,605657,1
25/05/2021,49458,49671,48894,48945,-0.726,724490,1
24/05/2021,49337,49481,49074,49303,0.522,853413,1
21/05/2021,49307,49493,48894,49047,0.17,1123604,1
20/05/2021,48771,49089,48532,48964,0.416,842108,1
19/05/2021,48306,48761,47956,48761,-0.636,1591853,1
18/05/2021,49621,49689,49030,49073,-1.03,1148738,1
17/05/2021,49463,49628,49059,49586,-0.0464,1329511,1
14/05/2021,49194,49709,49012,49609,1.57,2256132,1
13/05/2021,48047,49027,47997,48841,1.97,2202439,1
12/05/2021,49181,49389,47893,47896,-3.1,1854111,1
11/05/2021,49079,49682,48886,49428,-0.944,2137869,1
10/05/2021,50584,50686,49873,49899,-1.15,1586973,1
07/05/2021,49810,50526,49721,50479,1.04,718340,1
06/05/2021,49763,49961,49212,49958,0.511,1736103,1
05/05/2021,49918,49999,49365,49704,-0.169,1070085,1
04/05/2021,49753,49817,49239,49788,-0.332,1104594,1
03/05/2021,50084,50268,49810,49954,0.586,857257,1
30/04/2021,49995,50120,49575,49663,-1.33,1383317,1
29/04/2021,50668,50721,49985,50331,-0.0715,941690,1
28/04/2021,50354,50479,50221,50367,0.0318,782362,1
27/04/2021,50330,50460,50107,50351,0.263,525900,1
26/04/2021,50299,50426,50164,50219,0.33,998318,1
23/04/2021,49431,50228,49346,50054,1.75,1384513,1
22/04/2021,49526,49840,49064,49195,-0.481,1454341,1
21/04/2021,48547,49458,48420,49433,1.73,796525,1
20/04/2021,49193,49276,48306,48594,-1.48,754262,1
19/04/2021,49526,49623,49027,49324,-0.56,985518,1
16/04/2021,49500,49715,49311,49602,0.754,885950,1
15/04/2021,49235,49270,48824,49231,0.697,731301,1
14/04/2021,48706,49257,48706,48890,0.607,1029500,1
13/04/2021,48825,48904,48304,48595,-0.436,868015,1
12/04/2021,48676,48875,48476,48808,0.358,614668,1
09/04/2021,48402,48693,48299,48634,0.407,852074,1
08/04/2021,48390,48465,47939,48437,0.438,615651,1
07/04/2021,48662,48695,48086,48226,-0.727,659530,1
06/04/2021,48615,48947,48513,48579,0.0144,877493,1
05/04/2021,48687,48769,48270,48572,0.72,903156,1
01/04/2021,47849,48247,47787,48225,1.44,1196278,1
31/03/2021,47747,47976,47492,47540,-0.0442,687200,1
30/03/2021,47076,47625,46865,47561,1.23,579168,1
29/03/2021,47601,48022,46834,46985,-1.83,816019,1
26/03/2021,47148,47860,46899,47860,2.37,705925,1
25/03/2021,45451,46920,45237,46754,2.12,852541,1
24/03/2021,46561,46926,45780,45782,-0.61,910870,1
23/03/2021,47055,47178,45908,46063,-2.64,2552739,1
22/03/2021,47648,47648,47131,47310,-0.572,922337,1
19/03/2021,47454,47992,47165,47582,-0.157,1012619,1
18/03/2021,48472,48882,47569,47657,-2,519546,1
17/03/2021,48115,48632,47839,48632,0.706,482808,1
16/03/2021,48929,48929,48123,48291,-1.29,567236,1
15/03/2021,48356,48947,48196,48920,1.35,894800,1
12/03/2021,47740,48286,47703,48267,0.956,828029,1
11/03/2021,47446,47937,47363,47810,1.52,928861,1
10/03/2021,46801,47300,46749,47094,1.34,873107,1
09/03/2021,46771,46875,46330,46471,0.728,727846,1
08/03/2021,46045,46772,45839,46135,0.753,998295,1
05/03/2021,45286,45890,43881,45790,2.37,1016559,1
04/03/2021,45620,45922,44057,44729,-2.12,1285209,1
03/03/2021,46203,46430,45698,45698,-0.87,684741,1
02/03/2021,46724,46798,46044,46099,-1.43,808383,1
01/03/2021,46406,46950,46322,46768,2.85,882234,1
26/02/2021,45735,46081,44981,45471,-0.156,955039,1
25/02/2021,46938,47005,45430,45542,-3.03,1009548,1
24/02/2021,46265,47056,46151,46967,1.87,550682,1
23/02/2021,45634,46267,44927,46105,0.115,1354732,1
22/02/2021,45949,46438,45919,46052,-0.342,735200,1
19/02/2021,45803,46318,45758,46210,1.5,793593,1
18/02/2021,45707,45789,45328,45528,-1.1,652261,1
17/02/2021,46016,46172,45598,46033,-0.532,547327,1
16/02/2021,46695,46747,46149,46279,-0.185,486538,1
12/02/2021,46085,46413,46045,46365,0.325,374068,1
11/02/2021,46121,46344,45655,46215,0.61,714873,1
10/02/2021,46219,46300,45639,45935,-0.109,607367,1
09/02/2021,45795,46126,45703,45985,0.284,491535,1
08/02/2021,45434,45855,45322,45855,1.59,792435,1
05/02/2021,45040,45150,44804,45138,1.08,513579,1
04/02/2021,44215,44717,44153,44655,1.42,468661,1
03/02/2021,44076,44211,43681,44028,0,594920,1
02/02/2021,43902,44103,43643,44028,1.27,838606,1
