Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,6134.0,6178.0,5864.0,5864.0,-2.01,2856186,1
30/11/2021,6106.0,6162.0,5959.0,5984.0,-4.12,4330302,1
29/11/2021,6373.0,6385.3,6220.0,6241.0,-0.176,2118905,1
26/11/2021,6198.0,6303.0,6083.0,6252.0,-3.53,1911577,1
24/11/2021,6367.5,6491.0,6354.5,6481.0,1.27,2372706,1
23/11/2021,6300.0,6422.0,6276.5,6400.0,3.34,2375438,1
22/11/2021,6146.0,6295.0,6130.0,6193.0,0.896,3019465,1
19/11/2021,6239.0,6289.0,6121.0,6138.0,-3.38,2983740,1
18/11/2021,6346.0,6397.0,6263.0,6353.0,0.0315,1785313,1
17/11/2021,6278.0,6407.0,6275.0,6351.0,0.546,2088553,1
16/11/2021,6351.0,6381.0,6257.0,6316.5,-0.339,2005988,1
15/11/2021,6315.0,6360.5,6227.0,6338.0,0.412,2334675,1
12/11/2021,6300.0,6334.0,6250.0,6312.0,-0.363,1718869,1
11/11/2021,6270.0,6353.0,6262.0,6335.0,0.747,2068515,1
10/11/2021,6438.0,6481.0,6204.0,6288.0,-2.77,2670350,1
09/11/2021,6475.0,6487.2,6375.0,6467.0,-0.354,2397527,1
08/11/2021,6489.0,6535.0,6460.0,6490.0,0.263,2158133,1
05/11/2021,6421.0,6475.0,6389.0,6473.0,2,1851224,1
04/11/2021,6490.0,6497.0,6265.0,6346.0,-0.782,2554129,1
03/11/2021,6373.0,6566.0,6328.4,6396.0,-0.187,3246470,1
02/11/2021,6389.0,6454.5,6363.0,6408.0,-0.0624,3198216,1
01/11/2021,6388.0,6439.0,6350.0,6412.0,0.802,1637832,1
29/10/2021,6455.0,6471.0,6329.0,6361.0,-2.92,2444381,1
28/10/2021,6510.0,6575.8,6487.7,6552.0,0.537,1744115,1
27/10/2021,6546.0,6593.0,6497.0,6517.0,-0.988,1975273,1
26/10/2021,6595.0,6678.0,6579.0,6582.0,-0.182,2060686,1
25/10/2021,6545.0,6599.0,6519.5,6594.0,1.68,1771853,1
22/10/2021,6437.0,6491.5,6364.0,6485.0,0.808,2285001,1
21/10/2021,6483.0,6521.5,6360.0,6433.0,-1.18,3054657,1
20/10/2021,6478.0,6592.0,6474.0,6510.0,0.0154,1702721,1
19/10/2021,6552.0,6576.7,6483.0,6509.0,-0.169,1748183,1
18/10/2021,6548.0,6628.0,6469.0,6520.0,0.0614,2919865,1
15/10/2021,6498.0,6568.5,6496.0,6516.0,0.898,1960609,1
14/10/2021,6418.0,6475.0,6376.0,6458.0,2.05,1924703,1
13/10/2021,6216.0,6342.0,6178.5,6328.0,0.572,2036281,1
12/10/2021,6196.0,6351.0,6164.0,6292.0,1.68,2165704,1
11/10/2021,6236.0,6278.0,6163.4,6188.0,0.406,1885471,1
08/10/2021,6118.0,6190.5,6094.5,6163.0,1.45,1455388,1
07/10/2021,6026.0,6119.0,6018.0,6075.0,0.914,1924784,1
06/10/2021,5952.0,6026.0,5852.6,6020.0,0.0332,2414484,1
05/10/2021,6082.0,6158.0,5988.0,6018.0,0.183,2351237,1
04/10/2021,5999.0,6148.0,5980.0,6007.0,1.09,3036575,1
01/10/2021,5833.0,5970.0,5778.2,5942.0,2.41,2052446,1
30/09/2021,5901.0,5901.0,5793.0,5802.0,-1.31,2663320,1
29/09/2021,5859.0,5946.0,5794.0,5879.0,0.944,2228332,1
28/09/2021,5953.0,5977.5,5806.0,5824.0,-1.05,2713318,1
27/09/2021,5849.0,5967.0,5833.0,5886.0,2.49,3343364,1
24/09/2021,5700.0,5773.5,5683.0,5743.0,0.0523,3197766,1
23/09/2021,5584.0,5767.0,5544.0,5740.0,4.73,3559004,1
22/09/2021,5410.0,5539.0,5407.0,5481.0,2.89,2257666,1
21/09/2021,5370.0,5408.0,5286.0,5327.0,0.49,2838712,1
20/09/2021,5355.0,5365.0,5211.0,5301.0,-3.85,4309124,1
17/09/2021,5539.0,5594.0,5493.4,5513.0,-0.738,4598658,1
16/09/2021,5559.0,5607.0,5500.0,5554.0,-0.323,2389857,1
15/09/2021,5331.0,5573.0,5324.0,5572.0,5.09,3784688,1
14/09/2021,5388.0,5388.0,5269.0,5302.0,-0.637,1748168,1
13/09/2021,5302.0,5400.0,5302.0,5336.0,1.62,2243656,1
10/09/2021,5308.0,5311.0,5240.0,5251.0,0.172,1560301,1
09/09/2021,5215.0,5307.7,5170.0,5242.0,0.0764,1545705,1
08/09/2021,5271.0,5325.0,5217.0,5238.0,-0.21,1454910,1
07/09/2021,5283.0,5345.0,5232.0,5249.0,-1.3,1983506,1
03/09/2021,5321.0,5368.5,5284.0,5318.0,-0.263,1207530,1
02/09/2021,5253.0,5342.0,5253.0,5332.0,2.42,1557545,1
01/09/2021,5239.0,5267.5,5204.0,5206.0,-0.838,1643767,1
31/08/2021,5281.0,5307.0,5237.0,5250.0,-0.962,2946074,1
30/08/2021,5398.0,5405.0,5301.0,5301.0,-1.45,1578981,1
27/08/2021,5311.0,5424.0,5303.0,5379.0,2.32,1726293,1
26/08/2021,5319.0,5358.0,5253.0,5257.0,-1.63,1490382,1
25/08/2021,5286.0,5402.0,5267.5,5344.0,0.887,1738904,1
