Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,9042.0,9079.0,8772.3,8822.0,-1.97,10808740,1
02/12/2021,8921.0,9103.0,8914.0,8999.0,0.357,7090016,1
01/12/2021,9167.0,9238.5,8966.0,8967.0,-1.18,12085340,1
30/11/2021,9315.0,9352.0,9061.0,9074.0,-2.37,23271206,1
29/11/2021,9316.0,9413.0,9286.5,9294.0,0.574,9552635,1
26/11/2021,9277.0,9408.0,9207.0,9241.0,-1.26,4519322,1
24/11/2021,9221.5,9368.0,9215.0,9359.0,0.71,10908548,1
23/11/2021,9430.0,9430.0,9226.0,9293.0,-1.75,8905642,1
22/11/2021,9379.0,9567.0,9341.0,9459.0,0.681,6489341,1
19/11/2021,9475.0,9696.0,9394.0,9395.0,-0.761,8938025,1
18/11/2021,9520.0,9521.0,9352.0,9467.0,-0.692,5727254,1
17/11/2021,9574.0,9613.5,9482.0,9533.0,-0.355,6257596,1
16/11/2021,9419.0,9637.0,9404.5,9567.0,1.78,7392924,1
15/11/2021,9375.0,9425.0,9292.0,9400.0,0.492,5700925,1
12/11/2021,9413.0,9447.0,9343.0,9354.0,-0.489,6435453,1
11/11/2021,9401.0,9476.0,9381.0,9400.0,0.16,3620667,1
10/11/2021,9408.0,9484.5,9335.5,9385.0,-0.772,5828755,1
09/11/2021,9512.0,9559.0,9405.5,9458.0,-0.63,6102570,1
08/11/2021,9502.0,9524.0,9431.0,9518.0,0.253,5056415,1
05/11/2021,9611.0,9655.0,9410.0,9494.0,-0.711,6160237,1
04/11/2021,9605.0,9661.0,9532.1,9562.0,-0.562,5857745,1
03/11/2021,9660.0,9687.0,9297.4,9616.0,0.292,5746432,1
02/11/2021,9395.0,9591.0,9374.0,9588.0,1.56,6229796,1
01/11/2021,9604.0,9604.0,9391.0,9441.0,-1.58,7327599,1
29/10/2021,9599.0,9696.5,9546.0,9593.0,-0.229,7578628,1
28/10/2021,9663.0,9770.0,9593.0,9615.0,0.104,5177185,1
27/10/2021,9698.0,9730.0,9600.0,9605.0,-0.918,5941450,1
26/10/2021,9830.0,9855.0,9694.0,9694.0,-1.01,7089655,1
25/10/2021,9853.0,9894.5,9755.0,9793.0,-0.316,5083106,1
22/10/2021,9638.0,9827.0,9625.0,9824.0,2.01,6819582,1
21/10/2021,9650.0,9682.0,9571.0,9630.0,-0.393,6224679,1
20/10/2021,9740.0,9796.0,9625.0,9668.0,-0.381,6574073,1
19/10/2021,9706.0,9728.0,9633.0,9705.0,0.612,5616545,1
18/10/2021,9548.0,9665.0,9511.0,9646.0,0.868,7344106,1
15/10/2021,9525.0,9604.0,9473.0,9563.0,0.325,7423125,1
14/10/2021,9710.0,9735.0,9437.0,9532.0,-1.15,7911808,1
13/10/2021,9610.0,9699.0,9596.0,9642.5,0.821,9461742,1
12/10/2021,9570.0,9652.0,9527.0,9564.0,0.262,9964109,1
11/10/2021,9429.0,9680.0,9421.0,9539.0,1.06,12959279,1
08/10/2021,9238.0,9502.0,9230.0,9439.0,2.2,13202330,1
07/10/2021,9170.0,9288.0,9165.0,9236.0,1.15,9124444,1
06/10/2021,9038.0,9145.0,8965.0,9131.0,-0.197,10268251,1
05/10/2021,8928.0,9197.0,8918.0,9149.0,2.51,9788585,1
04/10/2021,8942.0,9043.4,8896.0,8925.0,-0.485,10853862,1
01/10/2021,8765.0,9026.5,8765.0,8968.5,2.93,13320918,1
30/09/2021,9136.0,9158.0,8710.0,8713.0,-4.49,15651919,1
29/09/2021,9112.0,9208.0,9102.0,9123.0,0.773,12007329,1
28/09/2021,9074.0,9227.0,9005.1,9053.0,-0.582,15041761,1
27/09/2021,8969.0,9130.5,8915.0,9106.0,1.28,11532971,1
24/09/2021,8916.0,9006.0,8894.0,8991.0,0.514,7617784,1
23/09/2021,8892.0,9006.0,8866.0,8945.0,1.18,9720231,1
22/09/2021,8758.0,8900.0,8726.0,8841.0,1.78,9908007,1
21/09/2021,8658.0,8766.0,8612.0,8686.0,0.859,11124697,1
20/09/2021,8494.0,8741.0,8493.5,8612.0,-0.266,13897724,1
