Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,11163,11163,10658,10766,-3.35,1094894,1
02/12/2021,10832,11182,10801,11139,3.13,2207001,1
01/12/2021,11327,11338,10801,10801,-2.68,993692,1
30/11/2021,11403,11403,11014,11098,-3.29,2087506,1
29/11/2021,11577,11577,11363,11475,0.0698,608493,1
26/11/2021,11602,11688,11377,11467,-2.76,479985,1
24/11/2021,11730,11828,11676,11792,0.349,988862,1
23/11/2021,11691,11755,11568,11751,-0.339,632533,1
22/11/2021,11775,11886,11736,11791,0.0594,522649,1
19/11/2021,11734,11891,11715,11784,0.675,812620,1
18/11/2021,11670,11768,11597,11705,0.524,510066,1
17/11/2021,11740,11750,11557,11644,-1.14,627997,1
16/11/2021,11648,11916,11646,11778,1.06,723918,1
15/11/2021,11673,11703,11579,11655,-0.223,369817,1
12/11/2021,11773,11773,11673,11681,-0.655,396628,1
11/11/2021,11671,11762,11584,11758,1.16,533660,1
10/11/2021,11728,11791,11589,11623,-1.1,613350,1
09/11/2021,11861,11946,11724,11752,-0.651,601546,1
08/11/2021,11931,11975,11738,11829,-0.337,597506,1
05/11/2021,12046,12083,11780,11869,-0.827,666894,1
04/11/2021,11723,12000,11723,11968,2.7,1029129,1
03/11/2021,11466,11657,11394,11653,1.57,867717,1
02/11/2021,11448,11500,11350,11473,0.403,602932,1
01/11/2021,11397,11442,11320,11427,1.09,498582,1
29/10/2021,11198,11348,11193,11304,0.56,626481,1
28/10/2021,11067,11276,11015,11241,2.16,583467,1
27/10/2021,11103,11197,10978,11003,-1.64,759550,1
26/10/2021,11244,11335,11152,11187,-0.622,597229,1
25/10/2021,11302,11498,11191,11257,-0.133,700089,1
22/10/2021,11219,11370,11074,11272,1.91,788946,1
21/10/2021,10942,11065,10869,11061,1.15,630817,1
20/10/2021,10880,10935,10720,10935,0.22,606099,1
19/10/2021,10964,11050,10895,10911,-1.06,661040,1
18/10/2021,10863,11063,10812,11028,1.28,589292,1
15/10/2021,10934,11005,10883,10889,0.526,502150,1
14/10/2021,10674,10845,10674,10832,2.37,430871,1
13/10/2021,10613,10635,10485,10582,-0.231,524965,1
12/10/2021,10842,10842,10576,10606,-1.87,806422,1
11/10/2021,10959,11110,10787,10808,-0.98,742473,1
08/10/2021,10744,10954,10707,10915,1.81,706211,1
07/10/2021,10488,10738,10488,10721,3.26,693460,1
06/10/2021,10348,10393,10120,10383,-0.259,596745,1
05/10/2021,10317,10493,10245,10410,1.52,898487,1
04/10/2021,10297,10397,10168,10254,-0.813,1033255,1
01/10/2021,10078,10377,10013,10338,2.92,576632,1
30/09/2021,10273,10289,10013,10045,-2.17,1223427,1
29/09/2021,10289,10320,10204,10268,0.195,503530,1
28/09/2021,10361,10370,10229,10248,-0.717,659519,1
27/09/2021,10328,10411,10285,10322,0.175,345395,1
24/09/2021,10233,10379,10229,10304,0.478,377874,1
23/09/2021,10155,10383,10155,10255,1.5,494335,1
22/09/2021,10091,10174,9948.0,10103,0.818,847030,1
21/09/2021,10170,10170,9964.0,10021,-0.516,607551,1
20/09/2021,9892.0,10080,9820.0,10073,-0.198,597322,1
17/09/2021,10257,10288,10072,10093,-2.03,1164519,1
16/09/2021,10422,10444,10270,10302,-0.847,439540,1
15/09/2021,10146,10399,10146,10390,2,643672,1
14/09/2021,10337,10337,10155,10186,-0.963,647561,1
13/09/2021,10350,10350,10207,10285,0.156,511255,1
10/09/2021,10411,10411,10214,10269,-0.696,653234,1
09/09/2021,10278,10402,10223,10341,0.888,481806,1
08/09/2021,10198,10258,10161,10250,0.49,391725,1
07/09/2021,10313,10341,10190,10200,-1.63,647277,1
03/09/2021,10433,10433,10309,10369,-0.585,632662,1
02/09/2021,10295,10431,10295,10430,1.16,418303,1
01/09/2021,10296,10326,10180,10310,-0.406,657112,1
31/08/2021,10390,10443,10319,10352,-0.366,621774,1
30/08/2021,10424,10473,10356,10390,-0.115,291518,1
27/08/2021,10329,10444,10325,10402,1.15,288309,1
26/08/2021,10326,10364,10262,10284,-0.484,286782,1
25/08/2021,10311,10412,10253,10334,0.437,404090,1
24/08/2021,10232,10294,10218,10289,0.705,299996,1
23/08/2021,10250,10293,10190,10217,0.0294,466077,1
20/08/2021,10179,10220,10130,10214,0.462,518739,1
19/08/2021,10061,10179,10061,10167,-0.226,424141,1
18/08/2021,10312,10366,10171,10190,-1.18,492468,1
17/08/2021,10316,10332,10190,10312,-0.578,521758,1
16/08/2021,10330,10446,10276,10372,0.213,476212,1
13/08/2021,10278,10416,10276,10350,0.966,914922,1
12/08/2021,10166,10264,10143,10251,0.886,418223,1
11/08/2021,10023,10161,9966.5,10161,1.26,725360,1
10/08/2021,9964.0,10065,9899.0,10035,0.915,643756,1
09/08/2021,9984.0,9984.0,9885.0,9944.0,-0.221,885893,1
06/08/2021,9993.0,10032,9925.0,9966.0,0.728,693750,1
05/08/2021,9819.0,9967.0,9819.0,9894.0,1.44,562001,1
04/08/2021,9850.0,9885.5,9752.8,9754.0,-1.42,646555,1
03/08/2021,9762.0,9944.0,9693.0,9895.0,1.16,838865,1
02/08/2021,9842.0,9960.0,9767.0,9782.0,-0.306,785762,1
30/07/2021,9694.0,9864.0,9690.0,9812.0,0.843,1056816,1
29/07/2021,9666.5,9796.0,9572.0,9730.0,1.79,775543,1
28/07/2021,9564.0,9639.0,9452.0,9559.0,0.759,965535,1
27/07/2021,9297.0,9500.0,9283.0,9487.0,1.4,947001,1
26/07/2021,9378.0,9485.0,9312.0,9356.0,0.776,877692,1
23/07/2021,9345.0,9600.0,9247.0,9284.0,6.85,1803959,1
22/07/2021,8695.0,8730.0,8567.0,8689.0,-0.561,949463,1
