Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,9090.0,9090.0,8784.0,8841.0,-2.3,984653,1
02/12/2021,8773.0,9088.0,8763.0,9049.0,3.96,757782,1
01/12/2021,9054.0,9123.0,8704.0,8704.0,-1.95,859464,1
30/11/2021,9191.0,9191.0,8845.0,8877.0,-3.99,1718058,1
29/11/2021,9384.0,9390.6,9121.0,9246.0,-0.709,833860,1
26/11/2021,9256.0,9403.5,9014.0,9312.0,-3.17,1134808,1
24/11/2021,9563.0,9668.0,9528.0,9617.0,0.125,819543,1
23/11/2021,9581.5,9645.3,9514.5,9605.0,0.0521,1581586,1
22/11/2021,9569.0,9712.0,9546.0,9600.0,0.661,1348188,1
19/11/2021,9405.0,9573.0,9385.0,9537.0,0.857,897761,1
18/11/2021,9508.0,9544.6,9383.0,9456.0,-0.599,769421,1
17/11/2021,9551.0,9557.0,9431.0,9513.0,-0.637,472705,1
16/11/2021,9589.0,9684.0,9565.0,9574.0,-0.146,887535,1
15/11/2021,9728.0,9728.0,9558.0,9588.0,-1.29,611432,1
12/11/2021,9705.0,9719.0,9626.0,9713.0,0.0927,497564,1
11/11/2021,9651.0,9745.0,9640.0,9704.0,0.695,929753,1
10/11/2021,9650.0,9771.0,9605.0,9637.0,-0.104,958726,1
09/11/2021,9686.0,9726.0,9565.0,9647.0,-0.659,754909,1
08/11/2021,9622.0,9766.0,9601.0,9711.0,3.11,1489971,1
05/11/2021,9328.0,9475.0,9294.0,9418.0,2.39,992489,1
04/11/2021,9264.0,9323.0,9168.0,9198.0,-0.605,556778,1
03/11/2021,9106.0,9327.0,9085.0,9254.0,1.51,972319,1
02/11/2021,9075.5,9129.0,9005.0,9116.0,0.707,618871,1
01/11/2021,9128.0,9175.0,9052.0,9052.0,-0.242,790339,1
29/10/2021,9055.0,9177.0,9017.0,9074.0,-0.154,1211153,1
28/10/2021,8913.5,9096.0,8895.5,9088.0,2.07,764617,1
27/10/2021,9035.0,9150.0,8852.0,8904.0,-2.91,1271016,1
26/10/2021,9280.5,9346.0,9159.0,9171.0,-1.37,1513190,1
25/10/2021,9240.0,9298.0,9200.0,9298.0,0.617,945581,1
22/10/2021,9322.5,9341.5,9199.0,9241.0,-0.602,765163,1
21/10/2021,9303.0,9350.0,9260.0,9297.0,-0.45,549359,1
20/10/2021,9185.0,9397.0,9166.0,9339.0,1.53,655204,1
19/10/2021,9172.0,9216.0,9111.0,9198.0,0.977,547248,1
18/10/2021,9117.0,9172.5,9084.0,9109.0,-0.914,557692,1
15/10/2021,9189.0,9241.8,9142.0,9193.0,1,579101,1
14/10/2021,9049.0,9148.0,8977.0,9102.0,1.81,748116,1
13/10/2021,9004.0,9030.0,8872.0,8940.0,-0.578,661905,1
12/10/2021,8916.0,9011.0,8914.0,8992.0,0.593,710991,1
11/10/2021,8974.0,9034.2,8925.3,8939.0,-0.268,758886,1
08/10/2021,9018.0,9045.0,8951.0,8963.0,-0.83,638076,1
07/10/2021,8997.0,9069.0,8955.0,9038.0,1.68,655477,1
06/10/2021,8847.0,8921.0,8695.0,8889.0,-0.826,764608,1
05/10/2021,8869.0,9040.5,8843.0,8963.0,0.753,946830,1
04/10/2021,8861.0,8956.0,8805.5,8896.0,0.429,873422,1
01/10/2021,8683.0,8909.0,8675.0,8858.0,2.71,866983,1
30/09/2021,8824.0,8855.0,8596.0,8624.0,-2.07,1260864,1
29/09/2021,8861.0,8881.0,8766.0,8806.0,-0.441,705168,1
28/09/2021,8998.0,9036.0,8841.0,8845.0,-1.9,1480214,1
27/09/2021,8971.0,9082.0,8971.0,9016.0,0.884,860128,1
24/09/2021,8918.0,8973.0,8872.0,8937.0,0.0336,626039,1
23/09/2021,8749.5,8997.0,8749.5,8934.0,2.75,988852,1
22/09/2021,8672.0,8791.0,8672.0,8695.0,1.42,608121,1
21/09/2021,8678.5,8678.5,8504.0,8573.0,-0.684,1000636,1
20/09/2021,8524.0,8655.0,8460.0,8632.0,-1.35,1080751,1
17/09/2021,8813.0,8826.0,8676.0,8750.0,-1.34,3474869,1
16/09/2021,9065.0,9078.5,8859.0,8869.0,-2.22,827909,1
15/09/2021,8948.5,9095.0,8948.5,9070.0,1.45,787602,1
14/09/2021,9062.0,9075.0,8904.0,8940.0,-0.986,956418,1
13/09/2021,9028.0,9083.0,8953.0,9029.0,0.928,1543066,1
10/09/2021,8981.0,9000.0,8908.0,8946.0,0.101,1183522,1
09/09/2021,8959.0,9008.0,8887.9,8937.0,0.179,800325,1
08/09/2021,8845.0,8921.0,8760.0,8921.0,0.688,560537,1
07/09/2021,9023.0,9031.0,8821.0,8860.0,-1.8,810981,1
03/09/2021,9075.0,9107.0,8997.0,9022.0,-0.386,592862,1
02/09/2021,8922.0,9088.0,8892.0,9057.0,2.12,742287,1
01/09/2021,8976.0,9020.0,8799.0,8869.0,-1.38,1042171,1
31/08/2021,8965.0,8994.0,8880.0,8993.0,0.391,1204142,1
30/08/2021,9039.0,9043.0,8958.0,8958.0,-0.676,1106569,1
27/08/2021,8884.0,9067.0,8845.0,9019.0,2.54,1013903,1
26/08/2021,8813.0,8873.0,8727.0,8796.0,0.377,2011789,1
25/08/2021,8721.0,8790.0,8699.0,8763.0,0.608,2201857,1
24/08/2021,8794.0,8836.5,8704.0,8710.0,-0.32,1835087,1
23/08/2021,8668.0,8769.0,8632.0,8738.0,2.06,1776049,1
20/08/2021,8526.0,8622.0,8514.0,8562.0,0.0935,1709698,1
19/08/2021,8719.0,8832.0,8535.0,8554.0,-2.82,1560724,1
18/08/2021,8782.0,8877.0,8761.0,8802.0,-0.61,914228,1
17/08/2021,8838.0,8906.0,8739.0,8856.0,-0.506,751358,1
16/08/2021,8848.0,8951.0,8771.0,8901.0,0.203,952781,1
13/08/2021,8920.0,8920.0,8810.0,8883.0,-0.135,597195,1
12/08/2021,8949.0,8949.0,8809.0,8895.0,-0.503,603540,1
11/08/2021,8791.0,8955.0,8753.0,8940.0,1.97,1174679,1
10/08/2021,8699.0,8813.0,8612.0,8767.0,1.14,833194,1
09/08/2021,8573.5,8703.0,8520.0,8668.0,0.709,867658,1
06/08/2021,8685.0,8704.0,8575.0,8607.0,0.093,916213,1
05/08/2021,8564.0,8650.0,8543.0,8599.0,1.46,818071,1
04/08/2021,8488.5,8618.0,8464.0,8475.0,-0.831,934732,1
03/08/2021,8403.5,8582.5,8292.0,8546.0,2.14,762520,1
02/08/2021,8573.0,8729.0,8340.0,8367.0,-1.36,943665,1
30/07/2021,8493.0,8502.0,8346.0,8482.0,-0.141,894161,1
29/07/2021,8425.0,8553.0,8259.0,8494.0,2.19,1312695,1
28/07/2021,8176.0,8368.5,8176.0,8312.0,1.39,1266905,1
27/07/2021,8095.0,8260.0,8095.0,8198.0,-0.231,909336,1
26/07/2021,8176.0,8239.0,8128.0,8217.0,0.477,991393,1
23/07/2021,8213.0,8221.0,8112.0,8178.0,0.11,614754,1
22/07/2021,8244.0,8245.0,8113.0,8169.0,-0.994,879861,1
21/07/2021,8219.0,8281.0,8181.0,8251.0,0.954,817187,1
20/07/2021,7832.0,8225.0,7832.0,8173.0,4.38,1284460,1
19/07/2021,7965.0,7999.0,7762.0,7830.0,-4.19,1349852,1
16/07/2021,8268.5,8310.0,8138.0,8172.0,-0.849,1002446,1
15/07/2021,8183.5,8368.5,8164.0,8242.0,-0.133,1019173,1
14/07/2021,8320.0,8374.0,8192.0,8253.0,-0.314,694840,1
13/07/2021,8276.0,8340.0,8270.0,8279.0,-0.133,802061,1
12/07/2021,8255.0,8347.0,8172.5,8290.0,-0.0121,647060,1
09/07/2021,8150.0,8299.0,8131.5,8291.0,3.5,773678,1
08/07/2021,8033.0,8069.0,7873.0,8011.0,-1.39,924245,1
07/07/2021,7951.0,8135.0,7923.0,8124.0,1.16,967670,1
06/07/2021,8106.0,8106.0,7901.0,8031.0,-1.65,1224530,1
02/07/2021,8168.0,8183.0,8084.0,8166.0,-0.171,674544,1
01/07/2021,8296.0,8366.0,8179.0,8180.0,-0.608,1099412,1
30/06/2021,8118.0,8238.0,8107.0,8230.0,1.12,1988496,1
29/06/2021,8233.0,8271.0,8118.0,8139.0,-0.792,746836,1
28/06/2021,8313.0,8313.0,8186.0,8204.0,-0.954,973586,1
25/06/2021,8383.0,8430.0,8279.0,8283.0,-0.767,1220915,1
24/06/2021,8164.5,8376.0,8138.0,8347.0,2.73,1055228,1
23/06/2021,8100.0,8238.0,8098.0,8125.0,0.321,1359396,1
22/06/2021,7942.0,8131.0,7906.7,8099.0,1.81,1741275,1
21/06/2021,7857.0,7972.0,7830.0,7955.0,2.61,1370383,1
18/06/2021,7671.0,7812.0,7630.0,7753.0,-0.373,2116685,1
17/06/2021,8020.0,8020.0,7662.0,7782.0,-2.81,1247852,1
16/06/2021,8006.0,8099.3,7973.0,8007.0,-0.336,716614,1
15/06/2021,8105.0,8125.5,7946.0,8034.0,-0.458,1379066,1
14/06/2021,8149.0,8150.0,7998.5,8071.0,-0.994,1223364,1
11/06/2021,8181.0,8200.5,8089.5,8152.0,0.234,727309,1
10/06/2021,8229.0,8235.0,8122.0,8133.0,-0.16,699842,1
09/06/2021,8229.0,8230.0,8138.5,8146.0,-1.19,839770,1
08/06/2021,8229.0,8269.0,8165.0,8244.0,0.146,677443,1
07/06/2021,8298.0,8325.0,8211.0,8232.0,-0.652,682590,1
04/06/2021,8306.0,8315.0,8236.5,8286.0,0.278,856845,1
03/06/2021,8353.0,8390.0,8238.0,8263.0,-1.49,688236,1
02/06/2021,8412.0,8469.5,8357.0,8388.0,-0.439,854216,1
01/06/2021,8350.0,8432.0,8298.0,8425.0,1.95,1179013,1
28/05/2021,8255.0,8276.5,8156.0,8264.0,0.0484,2295939,1
27/05/2021,8255.0,8333.0,8210.0,8260.0,1.54,945967,1
26/05/2021,8087.0,8144.5,8031.5,8135.0,0.259,1260687,1
25/05/2021,8154.0,8229.0,8085.0,8114.0,0.21,2639526,1
24/05/2021,8039.0,8106.0,7975.0,8097.0,1.23,1608054,1
21/05/2021,7868.0,8003.0,7853.0,7999.0,1.98,1557990,1
20/05/2021,7785.0,7858.2,7701.0,7844.0,0.397,836939,1
19/05/2021,7785.0,7841.0,7700.0,7813.0,-1.3,836661,1
18/05/2021,8027.0,8096.0,7906.0,7916.0,-1.51,1097605,1
17/05/2021,8008.0,8086.5,7980.0,8037.0,-0.285,1074606,1
14/05/2021,7977.0,8119.0,7936.0,8060.0,2.04,931227,1
13/05/2021,7769.0,7947.5,7769.0,7899.0,1.57,677725,1
12/05/2021,7943.0,7983.0,7748.0,7777.0,-2.09,1054093,1
11/05/2021,7968.0,8090.0,7867.0,7943.0,-1.85,894492,1
10/05/2021,8250.0,8257.0,8084.0,8093.0,-1.09,1177956,1
07/05/2021,8094.0,8213.0,8052.0,8182.0,0.147,1083085,1
06/05/2021,8125.0,8186.0,8082.0,8170.0,0.678,1048972,1
05/05/2021,8134.0,8155.0,8061.0,8115.0,-0.393,1729128,1
04/05/2021,8076.0,8153.1,7984.0,8147.0,0.493,2049782,1
03/05/2021,8281.0,8390.0,8090.0,8107.0,-1.31,1968864,1
30/04/2021,8322.0,8464.0,8136.0,8215.0,-1.98,2108061,1
29/04/2021,8627.5,8675.0,8242.2,8381.0,-2.05,2716405,1
28/04/2021,8501.0,8615.0,8457.0,8556.0,0.659,1559560,1
27/04/2021,8436.0,8524.0,8413.0,8500.0,0.449,862596,1
26/04/2021,8530.0,8567.5,8433.0,8462.0,-0.855,1305613,1
23/04/2021,8418.5,8571.0,8400.5,8535.0,1.97,1433232,1
22/04/2021,8293.0,8494.5,8237.0,8370.0,0.71,1546486,1
21/04/2021,8021.0,8313.0,7986.0,8311.0,3.19,1364191,1
20/04/2021,8089.0,8133.0,7956.0,8054.0,-0.764,1461603,1
19/04/2021,8086.0,8155.0,7994.0,8116.0,0.57,1026105,1
16/04/2021,8119.0,8166.0,8045.0,8070.0,0.124,1240999,1
15/04/2021,8066.0,8087.0,7978.0,8060.0,-0.186,1032654,1
14/04/2021,7908.0,8109.0,7902.5,8075.0,2.14,1302489,1
13/04/2021,8080.0,8080.0,7881.0,7906.0,-2.14,1142346,1
12/04/2021,7997.0,8090.0,7947.0,8079.0,1.7,1079721,1
09/04/2021,7819.0,7966.0,7819.0,7944.0,2.42,1597223,1
08/04/2021,7764.0,7855.3,7700.0,7756.0,-0.59,2292756,1
07/04/2021,7943.0,7977.0,7780.0,7802.0,-1.85,2364624,1
06/04/2021,8035.0,8078.0,7939.0,7949.0,-1.73,1155540,1
05/04/2021,7992.0,8099.0,7915.0,8089.0,2.37,1148257,1
01/04/2021,7920.0,7936.0,7783.5,7902.0,-0.0632,1073086,1
31/03/2021,7950.0,7978.0,7799.0,7907.0,-0.79,1358044,1
30/03/2021,7822.0,8027.0,7822.0,7970.0,2.04,1103001,1
29/03/2021,7789.0,7955.2,7769.0,7811.0,-0.573,1078484,1
26/03/2021,7825.0,7861.0,7724.0,7856.0,0.99,1547145,1
25/03/2021,7574.0,7796.0,7536.0,7779.0,2.26,1686178,1
24/03/2021,7475.0,7728.2,7475.0,7607.0,2.88,1393803,1
23/03/2021,7417.0,7580.0,7361.0,7394.0,-0.618,2006836,1
22/03/2021,7533.0,7561.5,7343.0,7440.0,-1.76,2133025,1
19/03/2021,7560.0,7651.0,7467.0,7573.0,-0.708,2075842,1
18/03/2021,7657.0,7837.0,7617.0,7627.0,-0.755,1585230,1
17/03/2021,7633.0,7774.0,7605.0,7685.0,0.339,1730936,1
16/03/2021,7760.0,7760.0,7625.0,7659.0,-1.37,802377,1
15/03/2021,7820.5,7849.0,7656.0,7765.0,-0.653,732611,1
12/03/2021,7721.0,7826.0,7693.0,7816.0,1.13,989975,1
11/03/2021,7658.0,7892.0,7645.0,7729.0,1.23,1426192,1
10/03/2021,7353.0,7673.0,7306.0,7635.0,4.62,1756210,1
09/03/2021,7437.0,7521.0,7287.2,7298.0,-1.79,2014316,1
08/03/2021,7522.0,7580.0,7431.0,7431.0,-0.268,3521031,1
05/03/2021,7325.0,7495.2,7200.0,7451.0,2.72,998400,1
