Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,8172.0,8265.5,8012.5,8013.0,-0.15,1092414,1
30/11/2021,8186.0,8256.9,8014.0,8025.0,-2.51,3837491,1
29/11/2021,8318.5,8323.8,8174.0,8232.0,0.0608,2162699,1
26/11/2021,8213.0,8318.0,8167.0,8227.0,-1.83,2162935,1
24/11/2021,8351.0,8410.0,8327.0,8380.0,-0.226,2420507,1
23/11/2021,8388.0,8420.0,8296.0,8399.0,-0.0476,2053817,1
22/11/2021,8452.0,8504.0,8399.0,8403.0,-0.0238,1931641,1
19/11/2021,8372.0,8513.0,8366.0,8405.0,0.215,1891930,1
18/11/2021,8411.0,8421.0,8334.0,8387.0,0.299,1986382,1
17/11/2021,8378.0,8405.0,8309.0,8362.0,-0.131,1419486,1
16/11/2021,8264.0,8409.0,8248.0,8373.0,1.94,1702658,1
15/11/2021,8252.0,8285.0,8198.0,8214.0,-0.436,973906,1
12/11/2021,8119.0,8257.0,8111.0,8250.0,1.95,1891120,1
11/11/2021,8069.0,8113.0,8054.0,8092.0,0.622,926135,1
10/11/2021,8125.0,8175.0,8013.0,8042.0,-1.49,1989769,1
09/11/2021,8050.5,8181.0,8050.5,8164.0,1.87,1699624,1
08/11/2021,8052.0,8083.0,7957.0,8014.0,0.125,1637695,1
05/11/2021,7997.0,8072.0,7973.0,8004.0,0.679,1363960,1
04/11/2021,7926.0,8060.0,7926.0,7950.0,0.978,1836521,1
03/11/2021,7820.0,7944.0,7816.7,7873.0,0.755,1197314,1
02/11/2021,7852.0,7852.0,7778.0,7814.0,-0.509,1665979,1
01/11/2021,7792.0,7867.0,7733.0,7854.0,1.17,1357277,1
29/10/2021,7753.0,7828.0,7729.5,7763.0,-0.398,1606178,1
28/10/2021,7717.0,7803.5,7712.0,7794.0,1.86,1500489,1
27/10/2021,7742.0,7861.0,7651.0,7652.0,-0.365,2407544,1
26/10/2021,7771.0,7771.0,7674.0,7680.0,-0.903,2035163,1
25/10/2021,7697.0,7800.5,7669.0,7750.0,0.376,2611320,1
22/10/2021,7711.0,7795.0,7707.0,7721.0,0.37,1880284,1
21/10/2021,7644.0,7693.5,7625.0,7692.5,0.241,1382292,1
20/10/2021,7586.0,7700.0,7580.0,7674.0,1.4,2361687,1
19/10/2021,7612.0,7624.3,7550.0,7568.0,-0.264,2000091,1
18/10/2021,7443.0,7591.5,7438.8,7588.0,1.57,2573916,1
15/10/2021,7526.0,7560.0,7470.0,7471.0,-0.0802,1523884,1
14/10/2021,7349.0,7478.0,7328.0,7477.0,2.73,3037479,1
13/10/2021,7261.0,7298.0,7215.0,7278.0,0.539,1194622,1
12/10/2021,7256.0,7311.0,7216.5,7239.0,-0.0276,1565116,1
11/10/2021,7249.0,7321.0,7239.0,7241.0,-0.193,1477797,1
08/10/2021,7345.0,7346.0,7244.0,7255.0,-1.21,2128329,1
07/10/2021,7292.0,7410.5,7289.0,7344.0,1.77,1632697,1
06/10/2021,7137.0,7245.0,7099.5,7216.0,0.278,2084598,1
05/10/2021,7205.5,7274.0,7160.0,7196.0,0.251,2209262,1
04/10/2021,7172.0,7215.0,7128.0,7178.0,-0.347,3326681,1
01/10/2021,7214.0,7263.0,7116.0,7203.0,0.334,4421944,1
30/09/2021,7429.0,7440.0,7176.0,7179.0,-3.16,3764156,1
29/09/2021,7417.0,7472.0,7397.0,7413.0,0.529,2060450,1
28/09/2021,7515.0,7530.0,7357.0,7374.0,-2.46,2387571,1
27/09/2021,7486.0,7576.0,7466.0,7560.0,0.746,1212407,1
24/09/2021,7490.0,7544.0,7452.0,7504.0,-0.213,1401863,1
23/09/2021,7538.0,7589.0,7517.0,7520.0,0.347,1451028,1
22/09/2021,7447.0,7570.5,7447.0,7494.0,1.15,1987287,1
21/09/2021,7478.0,7492.0,7352.0,7409.0,-0.51,1704942,1
20/09/2021,7411.0,7505.0,7348.5,7447.0,-1.88,2013371,1
17/09/2021,7609.0,7635.0,7540.0,7590.0,-0.459,2147939,1
16/09/2021,7617.0,7672.5,7585.0,7625.0,0.303,1909723,1
