Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,8585.0,8673.5,8375.0,8377.0,-0.969,4097112,1
30/11/2021,8625.0,8658.0,8449.0,8459.0,-2.56,12002301,1
29/11/2021,8712.0,8725.1,8623.0,8681.0,0.475,6140199,1
26/11/2021,8599.0,8681.0,8548.0,8640.0,-1.7,7107505,1
24/11/2021,8804.0,8827.0,8772.0,8789.0,-0.723,5182620,1
23/11/2021,8852.0,8917.0,8809.0,8853.0,0.0904,7616338,1
22/11/2021,8846.0,8939.0,8831.0,8845.0,0.147,6690035,1
19/11/2021,8822.0,8884.0,8802.0,8832.0,-0.147,5213351,1
18/11/2021,8895.0,8909.0,8829.0,8845.0,-0.428,5194591,1
17/11/2021,8931.0,8953.0,8878.0,8883.0,-0.615,5279572,1
16/11/2021,8975.0,8999.0,8938.0,8938.0,-0.335,4388136,1
15/11/2021,9012.0,9014.5,8937.1,8968.0,-0.455,4314031,1
12/11/2021,8961.0,9014.5,8946.0,9009.0,0.749,4387372,1
11/11/2021,8912.0,8980.0,8893.0,8942.0,0.8,4079195,1
10/11/2021,8919.0,8964.7,8854.0,8871.0,-0.683,6436232,1
09/11/2021,8897.0,8933.0,8860.0,8932.0,0.45,7884261,1
08/11/2021,8891.0,8923.0,8861.2,8892.0,1.23,5345020,1
05/11/2021,8743.0,8806.0,8727.0,8784.0,0.803,5829404,1
04/11/2021,8729.0,8750.0,8678.0,8714.0,-0.0803,5036572,1
03/11/2021,8636.0,8756.0,8621.0,8721.0,1.1,9593688,1
02/11/2021,8553.0,8646.0,8538.0,8626.0,1.1,6635591,1
01/11/2021,8531.0,8582.7,8503.0,8532.0,0.223,5520223,1
29/10/2021,8507.0,8582.0,8481.0,8513.0,-0.468,4349562,1
28/10/2021,8480.0,8568.7,8479.0,8553.0,0.98,4151685,1
27/10/2021,8566.0,8574.0,8463.0,8470.0,-1.29,5702093,1
26/10/2021,8581.0,8626.0,8512.0,8581.0,0.163,5776969,1
25/10/2021,8534.0,8604.0,8486.0,8567.0,0.966,5399652,1
22/10/2021,8514.0,8573.3,8484.0,8485.0,-0.165,5784213,1
21/10/2021,8487.0,8502.0,8411.3,8499.0,-0.258,6696108,1
20/10/2021,8462.0,8530.0,8440.0,8521.0,0.828,4651953,1
19/10/2021,8443.0,8452.5,8385.0,8451.0,0.499,4795501,1
18/10/2021,8352.0,8425.0,8329.0,8409.0,-0.0713,6349897,1
15/10/2021,8435.5,8457.5,8394.0,8415.0,0.286,5852546,1
14/10/2021,8278.0,8401.5,8248.0,8391.0,2.43,5687340,1
13/10/2021,8176.0,8228.0,8093.0,8192.0,0.763,7215657,1
12/10/2021,8122.0,8168.0,8100.0,8130.0,0.0862,7665740,1
11/10/2021,8145.0,8237.8,8118.0,8123.0,0.0739,4836766,1
08/10/2021,8183.0,8202.0,8104.0,8117.0,-0.551,6399037,1
07/10/2021,8133.0,8252.0,8128.0,8162.0,1.33,8469289,1
06/10/2021,7986.0,8058.0,7825.0,8055.0,-0.26,7724252,1
05/10/2021,8025.0,8118.0,7970.0,8076.0,0.912,6792058,1
04/10/2021,8046.0,8096.0,7945.0,8003.0,-0.423,8555819,1
01/10/2021,7953.0,8080.0,7889.5,8037.0,1.61,9249991,1
30/09/2021,8059.0,8092.0,7910.0,7910.0,-1.57,10729442,1
29/09/2021,8066.0,8085.0,8021.0,8036.0,-0.36,6969761,1
28/09/2021,8148.0,8162.0,8044.0,8065.0,-1.29,8285263,1
27/09/2021,8135.0,8216.0,8128.0,8170.0,0.777,5216513,1
24/09/2021,8079.0,8149.0,8064.0,8107.0,-0.136,3625896,1
23/09/2021,8059.0,8173.0,8058.0,8118.0,1.41,4758327,1
22/09/2021,8005.0,8084.0,8001.0,8005.0,1.02,7656112,1
21/09/2021,8005.0,8005.0,7889.0,7924.0,-0.227,7614708,1
20/09/2021,7904.0,7979.0,7836.7,7942.0,-2.34,10077762,1
17/09/2021,8261.0,8269.0,8107.0,8132.0,-2.07,9965999,1
16/09/2021,8361.0,8368.0,8244.0,8304.0,-1.11,5625365,1
15/09/2021,8327.5,8405.0,8312.5,8397.0,1.11,6325836,1
14/09/2021,8432.0,8432.0,8289.0,8305.0,-1.11,6043651,1
13/09/2021,8482.0,8499.5,8346.0,8398.0,-0.0595,7610040,1
10/09/2021,8448.0,8505.0,8395.5,8403.0,-0.0238,8890182,1
09/09/2021,8381.0,8460.0,8376.0,8405.0,0.0714,4935706,1
08/09/2021,8458.0,8464.0,8371.0,8399.0,-0.979,6209959,1
07/09/2021,8506.0,8510.5,8469.0,8482.0,-0.644,6932341,1
03/09/2021,8589.0,8609.0,8535.5,8537.0,-0.64,11440331,1
02/09/2021,8562.0,8611.0,8561.0,8592.0,0.621,5315638,1
01/09/2021,8551.0,8572.9,8465.0,8539.0,-0.269,7008910,1
31/08/2021,8580.0,8580.0,8519.5,8562.0,-0.291,5304465,1
30/08/2021,8632.0,8645.0,8586.0,8587.0,-0.116,4506359,1
27/08/2021,8521.0,8619.5,8521.0,8597.0,1.34,5178779,1
26/08/2021,8538.0,8549.0,8479.0,8483.0,-0.691,5770877,1
25/08/2021,8489.0,8570.0,8447.0,8542.0,0.435,4912230,1
24/08/2021,8493.0,8529.0,8477.0,8505.0,0.663,5529793,1
23/08/2021,8423.0,8472.5,8404.0,8449.0,0.847,4047754,1
20/08/2021,8331.0,8396.0,8319.0,8378.0,0.588,6986844,1
19/08/2021,8303.0,8366.0,8284.0,8329.0,-0.892,7968354,1
18/08/2021,8473.0,8523.0,8399.0,8404.0,-1.15,7356372,1
17/08/2021,8552.0,8564.0,8404.0,8502.0,-1.17,7462005,1
16/08/2021,8594.0,8613.0,8511.0,8603.0,-0.474,6137246,1
13/08/2021,8654.0,8663.0,8629.0,8644.0,0.0926,3907987,1
12/08/2021,8654.0,8660.0,8560.3,8636.0,-0.173,4806381,1
11/08/2021,8598.0,8657.9,8557.0,8651.0,1.42,8272385,1
10/08/2021,8398.0,8564.0,8398.0,8530.0,1.48,8023710,1
09/08/2021,8401.0,8424.9,8336.0,8405.5,-0.0891,5371786,1
06/08/2021,8345.0,8424.0,8335.0,8413.0,1.45,7027145,1
05/08/2021,8339.0,8402.0,8286.0,8292.5,-0.138,6982749,1
04/08/2021,8351.0,8396.0,8302.0,8304.0,-0.966,5269924,1
03/08/2021,8310.0,8386.0,8237.5,8385.0,1.02,6565955,1
02/08/2021,8440.0,8491.0,8300.0,8300.0,-1.2,8504995,1
30/07/2021,8353.0,8453.0,8353.0,8401.0,0.382,5586187,1
29/07/2021,8341.0,8398.5,8315.0,8369.0,1.12,6287427,1
28/07/2021,8255.5,8306.5,8198.0,8276.0,0.254,6107236,1
27/07/2021,8188.0,8290.0,8113.5,8255.0,0.17,8432159,1
26/07/2021,8195.0,8249.5,8175.0,8241.0,0.881,5910318,1
23/07/2021,8152.0,8181.0,8084.0,8169.0,0.641,5196385,1
22/07/2021,8127.0,8139.5,8049.0,8117.0,0.0863,4726701,1
21/07/2021,8090.0,8138.0,8070.5,8110.0,1.03,6835617,1
20/07/2021,7911.0,8083.0,7889.0,8027.0,1.21,10615769,1
19/07/2021,7955.0,7972.0,7868.0,7931.0,-2.18,11506743,1
16/07/2021,8249.0,8251.0,8094.0,8108.0,-1.52,9611083,1
15/07/2021,8189.0,8287.5,8187.0,8233.0,0,6344145,1
14/07/2021,8263.0,8324.0,8208.0,8233.0,-0.146,6188296,1
13/07/2021,8309.0,8329.0,8223.0,8245.0,-0.961,12354613,1
12/07/2021,8248.0,8349.5,8217.0,8325.0,0.301,10113131,1
09/07/2021,8239.5,8319.0,8226.5,8300.0,1.98,7490790,1
08/07/2021,8109.0,8182.0,8068.0,8139.0,-1.35,7912788,1
07/07/2021,8166.0,8257.0,8147.5,8250.0,1.03,6589379,1
06/07/2021,8284.0,8284.0,8108.0,8166.0,-1.45,6108325,1
02/07/2021,8295.0,8298.0,8232.0,8286.0,0.0846,6170931,1
01/07/2021,8291.0,8308.0,8234.0,8279.0,0.595,7092344,1
