Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,5581.0,5637.5,5398.5,5403.0,-0.953,16639758,1
30/11/2021,5479.5,5568.0,5432.0,5455.0,-2.42,46261968,1
29/11/2021,5681.0,5736.0,5573.0,5590.0,0.576,35441220,1
26/11/2021,5508.0,5576.0,5414.0,5558.0,-4.02,44727232,1
24/11/2021,5704.5,5824.0,5699.0,5791.0,1.01,21434324,1
23/11/2021,5637.0,5754.0,5637.0,5733.0,3.07,33863648,1
22/11/2021,5462.0,5648.0,5459.0,5562.0,1.77,33897328,1
19/11/2021,5563.0,5581.0,5455.0,5465.0,-3.94,45689812,1
18/11/2021,5715.0,5754.5,5620.0,5689.0,-0.594,28955460,1
17/11/2021,5764.0,5838.0,5703.0,5723.0,-1.5,23669488,1
16/11/2021,5817.0,5859.0,5784.0,5810.0,0.121,20479416,1
15/11/2021,5756.0,5836.5,5701.1,5803.0,0.834,21375656,1
12/11/2021,5744.0,5778.0,5720.0,5755.0,-0.243,17094986,1
11/11/2021,5761.5,5808.0,5752.0,5769.0,0.383,24498284,1
10/11/2021,5878.5,5897.0,5712.5,5747.0,-2.63,36016456,1
09/11/2021,5874.0,5904.0,5802.5,5902.0,0.408,19688988,1
08/11/2021,5871.0,5939.5,5846.5,5878.0,0.893,20011158,1
05/11/2021,5826.0,5852.0,5777.5,5826.0,1.32,22603512,1
04/11/2021,5824.0,5843.0,5699.0,5750.0,0.122,38181608,1
03/11/2021,5723.0,5802.0,5698.0,5743.0,-0.829,23337358,1
02/11/2021,5813.0,5857.0,5772.0,5791.0,-0.924,17062698,1
01/11/2021,5803.5,5862.0,5788.0,5845.0,1.74,24828366,1
29/10/2021,5813.5,5827.0,5723.0,5745.0,-0.674,21998928,1
28/10/2021,5723.0,5789.5,5719.0,5784.0,0.679,23367604,1
27/10/2021,5846.0,5881.5,5731.0,5745.0,-2.84,34003784,1
26/10/2021,5895.0,5941.0,5878.0,5913.0,0.578,22751590,1
25/10/2021,5859.0,5912.0,5835.0,5879.0,1.45,25056090,1
22/10/2021,5764.0,5799.5,5708.0,5795.0,0.941,21502534,1
21/10/2021,5807.0,5825.0,5694.3,5741.0,-1.85,32120878,1
20/10/2021,5758.0,5850.0,5736.0,5849.0,0.81,25106256,1
