Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,3857.5,3887.5,3754.5,3755.0,-0.976,28997468,1
30/11/2021,3839.0,3858.0,3790.0,3792.0,-2.47,121263736,1
29/11/2021,3925.0,3936.0,3859.5,3888.0,0.18,79316464,1
26/11/2021,3882.0,3900.5,3833.5,3881.0,-3.19,76492192,1
24/11/2021,4012.0,4026.0,3994.5,4009.0,-0.149,40410284,1
23/11/2021,3979.0,4022.0,3966.0,4015.0,1.47,61571248,1
22/11/2021,3954.0,3995.5,3922.0,3957.0,1.46,81965808,1
19/11/2021,3912.0,3925.0,3871.5,3900.0,-1.14,71858072,1
18/11/2021,3969.0,3976.5,3926.5,3945.0,-0.504,42995332,1
17/11/2021,4001.0,4005.0,3954.0,3965.0,-1.1,53557212,1
16/11/2021,4020.5,4035.0,4000.0,4009.0,-0.125,32599496,1
15/11/2021,4025.0,4036.0,4007.0,4014.0,0,30081056,1
12/11/2021,4011.0,4016.0,3979.0,4014.0,0.2,39218824,1
11/11/2021,3998.0,4019.0,3984.0,4006.0,0.3,31438902,1
10/11/2021,3997.0,4020.0,3985.0,3994.0,-0.175,60695080,1
09/11/2021,4002.0,4015.5,3976.4,4001.0,-0.547,48420388,1
08/11/2021,4027.0,4053.5,4014.5,4023.0,0.525,32864576,1
05/11/2021,4027.0,4049.0,3989.0,4002.0,0.025,57866348,1
04/11/2021,4045.0,4045.0,3969.0,4001.0,-1.23,48279712,1
03/11/2021,4025.0,4067.5,4017.0,4051.0,0.347,42946752,1
02/11/2021,4030.5,4050.0,4016.0,4037.0,0.174,31436828,1
01/11/2021,4055.0,4063.0,4012.0,4030.0,0.0994,37503768,1
29/10/2021,4043.0,4054.5,4018.0,4026.0,-0.396,42091996,1
28/10/2021,4009.0,4044.0,4007.0,4042.0,1.25,44566648,1
27/10/2021,4046.0,4068.0,3992.0,3992.0,-1.65,62449508,1
26/10/2021,4067.5,4086.0,4054.0,4059.0,0.123,41586936,1
25/10/2021,4073.0,4076.0,4046.5,4054.0,-0.172,33120960,1
22/10/2021,4023.0,4068.8,4021.0,4061.0,1.33,41458192,1
21/10/2021,4018.0,4031.0,3985.5,4007.5,-0.373,35067640,1
20/10/2021,3986.0,4022.5,3973.5,4022.5,0.815,44670216,1
19/10/2021,3971.0,3991.0,3955.3,3990.0,1.04,33082564,1
18/10/2021,3941.0,3975.0,3932.0,3949.0,-0.0253,56312728,1
15/10/2021,3932.5,3971.0,3918.0,3950.0,1.49,58411072,1
14/10/2021,3870.0,3894.0,3835.7,3892.0,1.7,51893516,1
13/10/2021,3851.0,3853.0,3774.0,3827.0,-0.597,72113632,1
12/10/2021,3859.0,3876.0,3841.0,3850.0,-0.337,58527656,1
11/10/2021,3914.0,3940.0,3861.0,3863.0,-0.999,50748312,1
08/10/2021,3885.5,3915.6,3869.0,3902.0,0.438,38607472,1
07/10/2021,3899.5,3924.0,3878.0,3885.0,0.635,53295644,1
06/10/2021,3821.0,3863.0,3793.0,3860.5,0.169,63431068,1
05/10/2021,3810.0,3874.9,3796.0,3854.0,1.82,56058436,1
04/10/2021,3807.5,3858.5,3775.5,3785.0,-0.708,69772688,1
01/10/2021,3766.0,3841.0,3749.0,3812.0,1.56,70443992,1
30/09/2021,3835.0,3835.0,3752.5,3753.5,-1.61,73319264,1
29/09/2021,3821.0,3830.0,3795.0,3815.0,0.0787,49882532,1
28/09/2021,3872.0,3892.0,3804.1,3812.0,-1.58,96152672,1
27/09/2021,3851.0,3885.0,3849.0,3873.0,1.31,58794504,1
24/09/2021,3800.0,3835.5,3793.5,3823.0,0.526,48066072,1
23/09/2021,3744.0,3820.0,3741.0,3803.0,2.51,71804984,1
22/09/2021,3692.0,3737.0,3688.5,3710.0,1.59,58350792,1
21/09/2021,3676.5,3691.5,3641.0,3652.0,-0.137,45837596,1
20/09/2021,3655.0,3668.5,3603.0,3657.0,-2.64,95008832,1
17/09/2021,3770.0,3793.5,3748.0,3756.0,-0.503,82987176,1
16/09/2021,3799.0,3819.0,3758.5,3775.0,-0.251,42630192,1
15/09/2021,3750.0,3795.0,3744.5,3784.5,0.92,36371320,1
14/09/2021,3812.5,3828.0,3737.5,3750.0,-1.39,45670620,1
13/09/2021,3788.0,3806.5,3774.0,3803.0,1.12,40357252,1
10/09/2021,3807.0,3811.0,3757.0,3761.0,-0.582,39350452,1
09/09/2021,3771.0,3822.0,3767.0,3783.0,0.265,33421022,1
08/09/2021,3777.0,3792.5,3755.2,3773.0,-0.37,32523852,1
07/09/2021,3810.0,3819.0,3784.0,3787.0,-0.578,39221524,1
03/09/2021,3825.0,3832.0,3798.0,3809.0,-0.548,34850456,1
02/09/2021,3826.5,3844.5,3816.0,3830.0,0.341,29616978,1
01/09/2021,3844.0,3845.0,3805.0,3817.0,-0.612,43976200,1
31/08/2021,3843.0,3869.0,3826.0,3840.5,-0.091,49876212,1
30/08/2021,3902.5,3904.0,3843.0,3844.0,-1.44,30096480,1
27/08/2021,3856.0,3901.0,3853.0,3900.0,1.3,38511080,1
26/08/2021,3885.0,3890.0,3845.0,3850.0,-0.465,38484292,1
25/08/2021,3836.0,3892.0,3825.0,3868.0,1.18,47904760,1
24/08/2021,3808.0,3832.0,3804.0,3823.0,0.645,37677316,1
23/08/2021,3789.0,3816.0,3789.0,3798.5,0.809,28807400,1
20/08/2021,3744.0,3774.5,3732.0,3768.0,0.56,33898584,1
19/08/2021,3733.0,3774.0,3721.5,3747.0,-0.715,48961332,1
18/08/2021,3803.0,3833.0,3771.0,3774.0,-1.18,39550428,1
17/08/2021,3823.0,3850.0,3783.4,3819.0,-0.805,52414808,1
16/08/2021,3837.0,3852.0,3799.5,3850.0,-0.181,48013660,1
13/08/2021,3889.0,3895.0,3849.0,3857.0,-0.733,43077192,1
12/08/2021,3886.5,3892.0,3860.0,3885.5,0.142,44608140,1
11/08/2021,3847.0,3881.0,3829.5,3880.0,1.17,48372124,1
10/08/2021,3795.5,3847.0,3788.5,3835.0,1.03,40907440,1
09/08/2021,3786.0,3813.5,3760.0,3796.0,0.238,48015612,1
06/08/2021,3749.5,3793.0,3745.5,3787.0,2.08,58081048,1
05/08/2021,3685.0,3711.0,3685.0,3710.0,1.26,37168236,1
04/08/2021,3661.0,3701.8,3650.0,3664.0,-0.758,52346376,1
03/08/2021,3664.0,3699.0,3613.0,3692.0,1.12,42169580,1
02/08/2021,3673.0,3718.2,3648.0,3651.0,-0.0411,47589848,1
30/07/2021,3671.0,3698.0,3643.0,3652.5,-0.747,52385324,1
29/07/2021,3666.0,3696.6,3649.0,3680.0,1.1,41434228,1
28/07/2021,3657.5,3664.0,3616.2,3640.0,-0.192,42908192,1
27/07/2021,3616.0,3662.0,3602.0,3647.0,0.0549,38988356,1
26/07/2021,3618.0,3654.0,3617.0,3645.0,0.524,25396048,1
23/07/2021,3643.0,3665.0,3615.5,3626.0,0.166,36766924,1
22/07/2021,3652.5,3655.0,3604.5,3620.0,-1.07,35292344,1
21/07/2021,3627.0,3678.0,3624.4,3659.0,1.64,59975036,1
