Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,10231,10272,9933.0,9936.0,-1.37,7687134,1
30/11/2021,10265,10293,10067,10074,-2.58,21058880,1
29/11/2021,10423,10428,10285,10341,0.165,11693132,1
26/11/2021,10338,10377,10248,10324,-2.68,14694053,1
24/11/2021,10593,10630,10571,10608,-0.104,10760392,1
23/11/2021,10615,10657,10565,10619,0.151,14090394,1
22/11/2021,10604,10701,10582,10603,0.255,11911854,1
19/11/2021,10615,10629,10558,10576,-0.461,8935617,1
18/11/2021,10676,10680,10572,10625,-0.225,9806241,1
17/11/2021,10711,10717,10611,10649,-0.56,8164384,1
16/11/2021,10716,10765,10702,10709,0,6624957,1
15/11/2021,10732,10745,10686,10709,0.178,7672636,1
12/11/2021,10630,10708,10602,10690,0.802,7929022,1
11/11/2021,10662,10670,10595,10605,-0.366,5921237,1
10/11/2021,10694,10729,10621,10644,-0.626,10325814,1
09/11/2021,10708,10736,10651,10711,0.253,10637515,1
08/11/2021,10732,10758,10642,10684,0.414,8928874,1
05/11/2021,10643,10705,10605,10640,0.987,12906652,1
04/11/2021,10512,10570,10508,10536,0.429,10201177,1
03/11/2021,10462,10497,10399,10491,-0.2,11567268,1
02/11/2021,10492,10523,10464,10512,0.305,8833899,1
01/11/2021,10473,10499,10427,10480,0.316,10775227,1
29/10/2021,10424,10487,10407,10447,-0.0478,6831642,1
28/10/2021,10335,10452,10333,10452,1.31,9260446,1
27/10/2021,10454,10466,10315,10317,-1.17,9015191,1
26/10/2021,10491,10536,10438,10439,-0.609,12313960,1
25/10/2021,10471,10544,10430,10503,0.248,8093601,1
22/10/2021,10462,10519,10448,10477,0.326,9826276,1
21/10/2021,10399,10447,10374,10443,0.201,7824899,1
20/10/2021,10363,10433,10336,10422,0.618,9258586,1
19/10/2021,10346,10361,10286,10358,0.592,6911171,1
18/10/2021,10232,10307,10190,10297,0.107,6780227,1
15/10/2021,10263,10333,10247,10286,0.932,11775253,1
14/10/2021,10078,10193,10062,10191,1.89,9752931,1
13/10/2021,9999.0,10044,9893.0,10002,0.21,12416671,1
12/10/2021,10019,10061,9961.0,9981.0,-0.339,10048788,1
11/10/2021,10074,10146,10014,10015,-0.763,9984044,1
08/10/2021,10096,10120,10052,10092,-0.0297,8565137,1
07/10/2021,10103,10169,10087,10095,0.769,9669765,1
06/10/2021,9873.0,10021,9820.5,10018,0.451,14702544,1
05/10/2021,9883.0,10024,9839.0,9973.0,1.13,12987951,1
04/10/2021,9901.0,9964.0,9803.0,9862.0,-0.504,20182940,1
01/10/2021,9849.0,9971.0,9748.0,9912.0,1.33,17051802,1
30/09/2021,10022,10029,9774.0,9782.0,-2.08,24624756,1
29/09/2021,10020,10041,9974.0,9990.0,0.12,12148155,1
28/09/2021,10061,10092,9954.5,9978.0,-1.16,17057306,1
27/09/2021,10095,10185,10089,10095,0.119,9337978,1
24/09/2021,10036,10113,10031,10083,0.169,8254497,1
23/09/2021,9961.0,10119,9955.0,10066,1.55,11440233,1
22/09/2021,9867.0,9979.0,9863.0,9912.0,0.957,13080094,1
21/09/2021,9934.0,9939.0,9791.0,9818.0,-0.708,14345231,1
20/09/2021,9840.0,9906.0,9778.0,9888.0,-1.46,21453560,1
17/09/2021,10100,10129,10018,10035,-1.04,16250702,1
16/09/2021,10218,10235,10124,10140,-0.715,10516239,1
15/09/2021,10106,10237,10083,10213,1.14,9175030,1
14/09/2021,10255,10255,10077,10098,-1.22,11493627,1
13/09/2021,10270,10299,10146,10223,0.265,12451026,1
10/09/2021,10297,10312,10192,10196,-0.439,9547823,1
09/09/2021,10276,10348,10217,10241,-0.496,9406169,1
