Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,13041,13210,12949,12957,-0.208,8604717,1
30/11/2021,13157,13217,12954,12984,-1.85,19467132,1
29/11/2021,13277,13322,13219,13229,0.227,17137200,1
26/11/2021,13266,13372,13151,13199,-0.34,11896923,1
24/11/2021,13222,13270,13180,13244,-0.0377,6760796,1
23/11/2021,13174,13265,13135,13249,0.0831,12075241,1
22/11/2021,13313,13361,13221,13238,-0.414,11146204,1
19/11/2021,13416,13463,13286,13293,-0.643,10166202,1
18/11/2021,13398,13412,13332,13379,0.0823,9029418,1
17/11/2021,13367,13425,13311,13368,0.135,8229054,1
16/11/2021,13298,13426,13272,13350,0.406,6150892,1
15/11/2021,13401,13419,13285,13296,-0.628,6268910,1
12/11/2021,13396,13412,13307,13380,0.458,8317641,1
11/11/2021,13357,13361,13283,13319,-0.255,8597304,1
10/11/2021,13310,13408,13310,13353,0.278,8445219,1
09/11/2021,13363,13381,13290,13316,-0.382,7287021,1
08/11/2021,13307,13382,13258,13367,0.579,8948840,1
05/11/2021,13315,13370,13190,13290,-1.09,14867391,1
04/11/2021,13506,13507,13343,13436,-0.658,15818549,1
03/11/2021,13432,13534,13374,13525,0.588,14610094,1
02/11/2021,13437,13516,13301,13446,0.621,20851468,1
01/11/2021,13395,13449,13315,13363,-0.142,14356751,1
29/10/2021,13227,13395,13186,13382,0.996,15415091,1
28/10/2021,13184,13304,13167,13250,0.768,9282753,1
27/10/2021,13275,13282,13140,13149,-0.732,11851449,1
26/10/2021,13217,13286,13141,13246,0.478,9271663,1
25/10/2021,13174,13197,13071,13183,0.106,10629842,1
22/10/2021,13102,13172,13083,13169,0.404,8009739,1
21/10/2021,13089,13121,12993,13116,0.413,8267518,1
20/10/2021,12959,13080,12955,13062,1.44,13665717,1
19/10/2021,12782,12909,12782,12876,1.32,9486966,1
18/10/2021,12740,12754,12655,12708,-0.726,11660799,1
15/10/2021,12807,12854,12773,12801,0.526,8976053,1
14/10/2021,12693,12784,12691,12734,1.43,8857911,1
13/10/2021,12559,12611,12477,12554,0.152,10610423,1
12/10/2021,12640,12648,12503,12535,-0.468,13007521,1
11/10/2021,12681,12749,12591,12594,-0.796,7843732,1
08/10/2021,12777,12800,12668,12695,-0.463,9552253,1
07/10/2021,12671,12840,12660,12754,1.26,15806657,1
06/10/2021,12543,12602,12450,12595,-0.174,21322290,1
05/10/2021,12579,12742,12573,12617,0.59,19152028,1
04/10/2021,12679,12746,12476,12543,-1.52,27580668,1
01/10/2021,12753,12793,12528,12736,0.0629,23188944,1
30/09/2021,12934,13012,12720,12728,-1.29,21653744,1
29/09/2021,12846,12948,12818,12894,0.797,11171392,1
28/09/2021,12922,12923,12744,12792,-1.68,17433740,1
27/09/2021,13160,13162,12982,13010,-1.42,11631377,1
24/09/2021,13222,13279,13171,13198,-0.377,6962579,1
23/09/2021,13192,13329,13177,13248,0.738,10366547,1
22/09/2021,13163,13223,13094,13151,0.122,11964144,1
21/09/2021,13178,13270,13133,13135,0.114,11741913,1
20/09/2021,13096,13232,13002,13120,-1.29,17245016,1
17/09/2021,13267,13311,13213,13292,0.0376,13541430,1
16/09/2021,13343,13363,13196,13287,-0.27,10525706,1
15/09/2021,13226,13383,13198,13323,0.688,10299867,1
14/09/2021,13296,13330,13212,13232,-0.0302,10436274,1
13/09/2021,13394,13395,13171,13236,-0.601,11676713,1
10/09/2021,13492,13501,13313,13316,-0.93,10561623,1
09/09/2021,13583,13611,13434,13441,-1.15,8905636,1
08/09/2021,13579,13621,13543,13598,-0.0515,6986150,1
07/09/2021,13637,13646,13516,13605,-0.599,8739238,1
03/09/2021,13649,13704,13591,13687,0.117,5632771,1
02/09/2021,13583,13672,13567,13671,1.08,6848211,1
01/09/2021,13550,13550,13397,13525,0.0518,10571193,1
31/08/2021,13543,13605,13473,13518,-0.155,9299100,1
30/08/2021,13459,13587,13451,13539,0.579,6417153,1
27/08/2021,13515,13545,13441,13461,-0.134,8679232,1
26/08/2021,13545,13569,13452,13479,-0.377,5972119,1
25/08/2021,13557,13557,13475,13530,-0.273,6918537,1
24/08/2021,13615,13615,13530,13567,-0.353,6548195,1
23/08/2021,13684,13698,13612,13615,0.0367,8471263,1
20/08/2021,13551,13652,13505,13610,0.502,7252909,1
19/08/2021,13388,13604,13381,13542,0.482,11669503,1
18/08/2021,13666,13678,13465,13477,-1.47,12427698,1
17/08/2021,13482,13678,13477,13678,1.15,13874827,1
16/08/2021,13373,13523,13323,13523,1.14,8404315,1
13/08/2021,13322,13372,13303,13371,0.594,7923108,1
12/08/2021,13194,13297,13187,13292,0.827,8220335,1
11/08/2021,13328,13354,13171,13183,-1.01,14512544,1
10/08/2021,13351,13379,13263,13317,-0.217,5832607,1
09/08/2021,13313,13370,13303,13346,0.384,9852525,1
06/08/2021,13305,13309,13209,13295,-0.0977,6923733,1
05/08/2021,13341,13341,13205,13308,-0.404,8240873,1
04/08/2021,13365,13447,13343,13362,-0.417,8322214,1
03/08/2021,13245,13421,13230,13418,1.41,7701800,1
02/08/2021,13264,13285,13194,13231,0.151,8366436,1
30/07/2021,13190,13263,13163,13211,0.0909,6634362,1
29/07/2021,13213,13223,13164,13199,0.22,5662818,1
28/07/2021,13105,13209,13072,13170,0.373,7432563,1
27/07/2021,13039,13123,13011,13121,0.467,9551785,1
26/07/2021,13113,13149,13020,13060,-0.632,6626516,1
23/07/2021,13050,13161,13037,13143,1.22,8303834,1
22/07/2021,12918,12995,12879,12984,0.62,9261132,1
21/07/2021,12936,12936,12765,12904,0.179,8295729,1
20/07/2021,12778,12955,12771,12881,1.18,15053906,1
19/07/2021,12771,12838,12623,12731,-0.995,19460594,1
16/07/2021,12874,12909,12818,12859,0.242,6511034,1
15/07/2021,12806,12859,12748,12828,-0.334,8750949,1
14/07/2021,12917,12918,12849,12871,-0.132,7487030,1
13/07/2021,12892,12926,12852,12888,-0.0698,9698814,1
12/07/2021,12880,12960,12867,12897,0.132,9097975,1
09/07/2021,12841,12910,12841,12880,0.335,5224302,1
08/07/2021,12784,12837,12711,12837,-0.45,8386584,1
07/07/2021,12820,12896,12771,12895,0.624,18435650,1
06/07/2021,12799,12818,12726,12815,-0.0936,11413300,1
