Date,Name,TIDM,Shares,Price,Cost,Charges,Stamp duty,Value,Unrealised,profit,% Return,% Annual
14/8/18,Norcros PLC,NXR,0,,,23.9,5,,,221.25,21.8,21.4
8/8/17,Buy,NXR,560,1.78311,1015.49,11.95,5,0,0,0,0.0,
12/1/18,Dividend,NXR,58,0.251034,0,,,14.56,,14.56,,
2/8/18,Dividend,NXR,286,0.101818,0,,,29.12,,29.12,,
14/8/18,Sell,NXR,560,2.1518,1015.49,11.95,,1193.06,,177.57,17.5,
14/8/18,Position Closed,NXR,0,,,23.9,5,,,221.25,21.8,21.4
11/12/18,Galliford Try Holdings PLC,GFRD,0,,,23.9,5.03,,,-406.77,-39.7,-40.4
19/12/17,Buy,GFRD,81,12.4258,1023.47,11.95,5.03,0,0,0,0.0,
6/4/18,Dividend,GFRD,58,0.391034,0,,,22.68,,22.68,,
26/4/18,Dividend,GFRD,27,2.90296,0,,,78.38,,78.38,,
5/12/18,Dividend,GFRD,151,0.262848,0,,,39.69,,39.69,,
11/12/18,Sell,GFRD,81,6.0234,1023.47,11.95,,475.95,,-547.52,-53.5,
11/12/18,Position Closed,GFRD,0,,,23.9,5.03,,,-406.77,-39.7,-40.4
20/12/18,Communisis PLC,CMS#1,0,,,11.95,5,,,510.83,50.2,30.8
14/6/17,Buy,CMS#1,2048,0.488199,1016.78,11.95,5,0,0,0,0.0,
13/10/17,Dividend,CMS#1,58,0.31431,0,,,18.23,,18.23,,
18/5/18,Dividend,CMS#1,58,0.625,0,,,36.25,,36.25,,
12/10/18,Dividend,CMS#1,148,0.128716,0,,,19.05,,19.05,,
20/12/18,Sell,CMS#1,2048,0.71,1016.78,,,1454.08,,437.3,43.0,
20/12/18,Position Closed,CMS#1,0,,,11.95,5,,,510.83,50.2,30.8
9/4/19,Petrofac Ltd,PFC,0,,,23.9,,,,0.13,0.0,0.0
10/4/18,Buy,PFC,188,5.345,1016.81,11.95,,0,0,0,0.0,
25/5/18,Dividend,PFC,58,0.600345,0,,,34.82,,34.82,,
19/10/18,Dividend,PFC,151,0.12,0,,,18.12,,18.12,,
9/4/19,Sell,PFC,188,5.1912,1016.81,11.95,,964,,-52.81,-5.2,
9/4/19,Position Closed,PFC,0,,,23.9,,,,0.13,0.0,0.0
9/7/19,International Consolidated Airlines Group SA,IAG,0,,,23.9,,,,-293.78,-28.9,-29.0
10/7/18,Buy,IAG,148,6.7762,1014.83,11.95,,0,0,0,0.0,
4/12/18,Dividend,IAG,148,0.103581,0,,,15.33,,15.33,,
9/7/19,Dividend,IAG,148,0.118581,0,,,17.55,,17.55,,
9/7/19,Dividend,IAG,148,0.310608,0,,,45.97,,45.97,,
9/7/19,Sell,IAG,148,4.41993,1014.83,11.95,,642.2,,-372.63,-36.7,
9/7/19,Position Closed,IAG,0,,,23.9,,,,-293.78,-28.9,-29.0
15/7/19,RPC Group PLC,RPC#1,0,,,11.95,5.02,,,-35.39,-3.5,-5.1
13/11/18,Buy,RPC#1,123,8.1607,1020.74,11.95,5.02,0,0,0,0.0,
25/1/19,Dividend,RPC#1,123,0.0809756,0,,,9.96,,9.96,,
15/7/19,Sell,RPC#1,123,7.93,1020.74,,,975.39,,-45.35,-4.4,
15/7/19,Position Closed,RPC#1,0,,,11.95,5.02,,,-35.39,-3.5,-5.1
13/8/19,DFS Furniture PLC,DFS,0,,,23.9,5,,,44.24,4.3,4.4
14/8/18,Buy,DFS,456,2.194,1017.41,11.95,5,0,0,0,0.0,
27/12/18,Dividend,DFS,456,0.075,0,,,34.2,,34.2,,
19/6/19,Dividend,DFS,456,0.0369956,0,,,16.87,,16.87,,
13/8/19,Sell,DFS,456,2.2424,1017.41,11.95,,1010.58,,-6.83,-0.7,
13/8/19,Position Closed,DFS,0,,,23.9,5,,,44.24,4.3,4.4
16/8/19,Redde Northgate PLC,REDD,0,,,23.9,5.01,,,-248.01,-24.4,-24.3
14/8/18,Buy,REDD,230,4.3531,1018.17,11.95,5.01,0,0,0,0.0,
25/1/19,Dividend,REDD,230,0.062,0,,,14.26,,14.26,,
16/8/19,Sell,REDD,230,3.2175,1018.17,11.95,,728.08,,-290.1,-28.5,
27/9/19,Dividend,REDD,230,0.121,0,,,27.83,,27.83,,
16/8/19,Position Closed,REDD,0,,,23.9,5.01,,,-248.01,-24.4,-24.3
10/9/19,Tate & Lyle PLC,TATE,0,,,23.9,5.01,,,119.32,11.7,11.8
11/9/18,Buy,TATE,151,6.63,1018.09,11.95,5.01,0,0,0,0.0,
4/1/19,Dividend,TATE,151,0.0860265,0,,,12.99,,12.99,,
31/7/19,Dividend,TATE,151,0.208013,0,,,31.41,,31.41,,
10/9/19,Sell,TATE,151,7.31762,1018.09,11.95,,1093.01,,74.92,7.4,
10/9/19,Position Closed,TATE,0,,,23.9,5.01,,,119.32,11.7,11.8
8/10/19,Headlam Group PLC,HEAD,0,,,23.9,5,,,-11.62,-1.1,-1.1
9/10/18,Buy,HEAD,218,4.58468,1016.41,11.95,5,0,0,0,0.0,
2/1/19,Dividend,HEAD,218,0.0755046,0,,,16.46,,16.46,,
1/7/19,Dividend,HEAD,218,0.174495,0,,,38.04,,38.04,,
8/10/19,Sell,HEAD,218,4.41394,1016.41,11.95,,950.29,,-66.12,-6.5,
8/10/19,Position Closed,HEAD,0,,,23.9,5,,,-11.62,-1.1,-1.1
8/10/19,Marks & Spencer Group PLC,MKS,0,,,23.9,5.01,,,-445.39,-43.7,-25.1
10/10/17,Buy,MKS,286,3.50275,1018.75,11.95,5.01,0,0,0,0.0,
12/1/18,Dividend,MKS,286,0.068007,0,,,19.45,,19.45,,
13/7/18,Dividend,MKS,286,0.118986,0,,,34.03,,34.03,,
11/1/19,Dividend,MKS,286,0.068007,0,,,19.45,,19.45,,
27/6/19,Dividend,MKS,286,0.0518182,0,,,14.82,,14.82,,
12/7/19,Dividend,MKS,286,0.071014,0,,,20.31,,20.31,,
8/10/19,Sell,MKS,286,1.66871,1018.75,11.95,,465.3,,-553.45,-54.3,
8/10/19,Position Closed,MKS,0,,,23.9,5.01,,,-445.39,-43.7,-25.1
13/11/19,Greene King PLC,GNK#1,0,,,11.95,5,,,436.2,42.9,28.6
12/6/18,Buy,GNK#1,160,6.2438,1015.96,11.95,5,0,0,0,0.0,
14/9/18,Dividend,GNK#1,160,0.244,0,,,39.04,,39.04,,
18/1/19,Dividend,GNK#1,160,0.088,0,,,14.08,,14.08,,
13/9/19,Dividend,GNK#1,160,0.244,0,,,39.04,,39.04,,
13/11/19,Sell,GNK#1,160,8.5,1015.96,,,1360,,344.04,33.9,
13/11/19,Position Closed,GNK#1,0,,,11.95,5,,,436.2,42.9,28.6
10/12/19,Aggreko PLC,AGK#1,0,,,23.9,4.99,,,164.83,16.2,16.3
11/12/18,Buy,AGK#1,141,7.0847,1015.88,11.95,4.99,0,0,0,0.0,
24/5/19,Dividend,AGK#1,141,0.177376,0,,,25.01,,25.01,,
1/10/19,Dividend,AGK#1,141,0.0938298,0,,,13.23,,13.23,,
10/12/19,Sell,AGK#1,141,8.18738,1015.88,11.95,,1142.47,,126.59,12.5,
10/12/19,Position Closed,AGK#1,0,,,23.9,4.99,,,164.83,16.2,16.3
10/12/19,BT Group PLC,BT.A,0,,,23.9,5,,,-225.11,-22.1,-22.2
11/12/18,Buy,BT.A,394,2.53875,1017.22,11.95,5,0,0,0,0.0,
4/2/19,Dividend,BT.A,394,0.0461929,0,,,18.2,,18.2,,
9/9/19,Dividend,BT.A,394,0.107792,0,,,42.47,,42.47,,
10/12/19,Sell,BT.A,394,1.88678,1017.22,11.95,,731.44,,-285.78,-28.1,
10/12/19,Position Closed,BT.A,0,,,23.9,5,,,-225.11,-22.1,-22.2
10/12/19,Carr's Group PLC,CARR,0,,,23.9,5,,,-2.33,-0.2,-0.2
11/12/18,Buy,CARR,656,1.525,1017.35,11.95,5,0,0,0,0.0,
31/5/19,Dividend,CARR,656,0.01125,0,,,7.38,,7.38,,
4/10/19,Dividend,CARR,656,0.01125,0,,,7.38,,7.38,,
10/12/19,Sell,CARR,656,1.518,1017.35,11.95,,983.86,,-33.49,-3.3,
10/1/20,Dividend,CARR,588,0.0278912,0,,,16.4,,16.4,,
10/12/19,Position Closed,CARR,0,,,23.9,5,,,-2.33,-0.2,-0.2
14/1/20,Micro Focus International PLC,MCRO,0,,,23.9,5,,,-104.47,-10.3,-10.1
8/1/19,Buy,MCRO,69,14.49,1016.76,11.95,5,0,0,0,0.0,
5/4/19,Dividend,MCRO,69,0.452174,0,,,31.2,,31.2,,
14/5/19,Sell,MCRO,12,19.3117,176.83,,,231.74,,54.91,31.1,
