Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
24/5/2017,00:00,,,Credit,,,,,1079.16,,""
9/6/2017,00:00,,,Interest,,,,,0.02,,"Interest"
4/7/2017,00:00,,,Charges,,,,,0.38,,"Management Fee"
5/7/2017,00:00,,,Credit,,,,,550,,"Employer Contribution"
9/7/2017,00:00,,,Interest,,,,,0.01,,"Interest"
13/7/2017,00:00,,,Credit,,,,,550,,"Employer Contribution"
3/8/2017,00:00,,,Charges,,,,,0.37,,"Management Fee"
9/8/2017,00:00,,,Interest,,,,,0.03,,"Interest"
30/8/2017,00:00,,,Credit,,,,,550,,"Employer Contribution"
6/9/2017,00:00,,,Charges,,,,,0.8,,"Management Fee"
9/9/2017,00:00,,,Interest,,,,,0.01,,"Interest"
22/9/2017,00:00,,,Credit,,,,,550,,"Employer Contribution"
4/10/2017,00:00,,,Charges,,,,,0.8,,"Management Fee"
9/10/2017,00:00,,,Interest,,,,,0.03,,"Interest"
26/10/2017,00:00,,,Credit,,,,,550,,"Employer Contribution"
4/11/2017,00:00,,,Charges,,,,,1.19,,""
9/11/2017,00:00,,,Interest,,,,,0.02,,"Interest"
4/12/2017,00:00,,,Charges,,,,,1.19,,"Management Fee"
9/12/2017,00:00,,,Interest,,,,,0.03,,"Interest"
18/12/2017,00:00,,,Credit,,,,,550,,"Employer Contribution"
3/1/2018,00:00,,,Charges,,,,,1.63,,"Management Fee"
9/1/2018,00:00,,,Interest,,,,,0.02,,"Interest"
2/2/2018,00:00,,,Credit,,,,,550,,"Employer Contribution"
3/2/2018,00:00,,,Charges,,,,,1.59,,""
9/2/2018,00:00,,,Interest,,,,,0.02,,"Interest"
2/3/2018,00:00,,,Credit,,,,,550,,"Employer Contribution"
3/3/2018,00:00,,,Charges,,,,,1.37,,"Management Fee"
9/3/2018,00:00,,,Interest,,,,,0.04,,"Interest"
5/4/2018,00:00,,,Credit,,,,,550,,"Employer Contribution"
5/4/2018,00:00,,,Credit,,,,,550,,"Employer Contribution"
5/4/2018,00:00,,,Credit,,,,,3000,,"Bonus"
5/4/2018,00:00,,,Credit,,,,,550,,"Employer Contribution"
6/4/2018,00:00,,,Charges,,,,,1.84,,""
9/4/2018,00:00,,,Interest,,,,,0.05,,"Interest"
3/5/2018,00:00,,,Charges,,,,,2.22,,"Management Fee"
9/5/2018,00:00,,,Interest,,,,,0.17,,"Interest"
5/6/2018,00:00,,,Charges,,,,,2.74,,""
9/6/2018,00:00,,,Interest,,,,,0.13,,"Interest"
4/7/2018,00:00,,,Charges,,,,,2.94,,""
9/7/2018,00:00,,,Interest,,,,,0.09,,"Interest"
2/8/2018,00:00,,,Charges,,,,,3.46,,""
9/8/2018,00:00,,,Interest,,,,,0.07,,"Interest"
17/8/2018,00:00,,,Credit,,,,,858,,"Employer Contribution"
5/9/2018,00:00,,,Charges,,,,,3.71,,"Management Fee"
9/9/2018,00:00,,,Interest,,,,,0.1,,"Interest"
20/9/2018,00:00,,,Credit,,,,,550,,"Employer Contribution"
20/9/2018,00:01,,,Credit,,,,,550,,"Employer Contribution"
20/9/2018,00:02,,,Credit,,,,,924,,"Employer Contribution"
24/9/2018,00:00,,,Credit,,,,,858,,"Employer Contribution"
